E 19 St & 3 Ave	(4, 8)
Madison St & Montgomery St	(14, 15)
Broadway & W 41 St	(9, 16)
Douglass St & 4 Ave	(1, 1)
3 Ave & E 95 St	(1, 0)
Center Blvd & 48 Ave	(7, 3)
E 58 St & Madison Ave	(1, 5)
Nassau Ave & Russell St	(4, 3)
Broadway & W 25 St	(12, 9)
W Broadway & Spring Street	(14, 7)
5 Ave & E 29 St	(6, 5)
President St & Henry St	(1, 2)
Peck Slip & Front St	(6, 8)
Maiden Ln & Pearl St	(6, 6)
Eastern Pkwy & Franklin Ave	(1, 2)
Avenue D & E 12 St	(5, 1)
Canal St & Rutgers St	(10, 8)
Columbia St & Rivington St	(5, 2)
21 St & 36 Ave	(0, 1)
W 21 St & 6 Ave	(11, 23)
Spruce St & Nassau St	(2, 6)
E 20 St & Park Ave	(19, 6)
Fulton St & Rockwell Pl	(3, 7)
Carlton Ave & Park Ave	(0, 2)
Central Park West & W 85 St	(1, 1)
W 43 St & 6 Ave	(2, 5)
E 39 St & 2 Ave	(5, 10)
W 44 St & 5 Ave	(10, 11)
W 63 St & Broadway	(8, 1)
1 Ave & E 94 St	(2, 3)
E 58 St & 3 Ave	(5, 8)
Carroll St & Smith St	(5, 2)
E 55 St & 3 Ave	(2, 6)
Bedford Ave & S 9 St	(3, 3)
5 Ave & E 73 St	(6, 9)
E 55 St & 2 Ave	(10, 7)
Lafayette Ave & Fort Greene Pl	(4, 2)
Madison Ave & E 82 St	(4, 3)
45 Rd & 11 St	(4, 1)
E 91 St & 2 Ave	(5, 4)
W 16 St & 8 Ave	(5, 10)
W 89 St & Columbus Ave	(1, 2)
W 37 St & 5 Ave	(5, 8)
Clinton Ave & Flushing Ave	(0, 4)
Central Park West & W 68 St	(4, 2)
Cooper Square & Astor Pl	(9, 10)
Centre St & Worth St	(5, 4)
Greenwich St & W Houston St	(9, 18)
Cherry St	(2, 2)
Cadman Plaza E & Red Cross Pl	(5, 6)
Monroe St & Tompkins Ave	(1, 1)
South St & Whitehall St	(5, 1)
Henry St & Grand St	(10, 3)
5 St & 51 Ave	(3, 0)
Pleasant Ave & E 120 St	(0, 1)
E 43 St & 2 Ave	(6, 5)
E 11 St & Avenue B	(7, 3)
E 16 St & Irving Pl	(10, 7)
Smith St & 3 St	(2, 0)
E 82 St & East End Ave	(1, 2)
Front St & Maiden Ln	(5, 8)
E 43 St & 5 Ave	(5, 2)
Mercer St & Spring St	(6, 12)
W 26 St & 10 Ave	(4, 8)
Clermont Ave & Park Ave	(1, 1)
W 95 St & Broadway	(5, 1)
E 10 St & Avenue A	(11, 11)
6 Ave & 9 St	(3, 1)
Kane St & Clinton St	(3, 2)
University Pl & E 8 St	(8, 8)
Laight St & Hudson St	(4, 2)
Union St & 4 Ave	(2, 3)
Front St & Washington St	(0, 1)
Madison Ave & E 99 St	(1, 2)
DeKalb Ave & Vanderbilt Ave	(1, 3)
31 St & Thomson Ave	(1, 2)
E 84 St & 1 Ave	(5, 8)
E 65 St & 2 Ave	(1, 2)
Stanton St & Mangin St	(4, 3)
Bond St & Bergen St	(2, 1)
3 St & Prospect Park West	(1, 0)
Rivington St & Chrystie St	(8, 9)
E 25 St & 1 Ave	(1, 3)
E 114 St & 1 Ave	(0, 1)
E 52 St & 2 Ave	(1, 5)
Duffield St & Willoughby St	(2, 4)
E 39 St & 3 Ave	(8, 7)
Myrtle Ave & St Edwards St	(6, 0)
Fulton St & Clermont Ave	(3, 2)
N 12 St & Bedford Ave	(2, 1)
E 58 St & 1 Ave (NE Corner)	(4, 1)
Perry St & Bleecker St	(3, 5)
48 Ave & 5 St	(3, 2)
W 24 St & 7 Ave	(4, 8)
Old Fulton St	(6, 6)
Jay St & York St	(6, 4)
Plaza St West & Flatbush Ave	(3, 3)
Pacific St & Nevins St	(1, 1)
W 18 St & 6 Ave	(9, 13)
7 Ave & Central Park South	(5, 3)
34 Ave & 13 St	(1, 0)
2 Ave & E 122 St	(1, 1)
India St & West St	(1, 4)
E 48 St & 3 Ave	(5, 2)
Riverside Dr & W 91 St	(2, 7)
Catherine St & Monroe St	(7, 2)
Grand St & Elizabeth St	(13, 16)
Riverside Dr & W 78 St	(1, 5)
Bayard St & Leonard St	(0, 3)
Forsyth St & Canal St	(5, 4)
W 92 St & Broadway	(1, 3)
Crescent St & Broadway	(1, 1)
47 Ave & Skillman Ave	(0, 1)
Atlantic Ave & Fort Greene Pl	(0, 4)
44 Dr & 21 St	(0, 1)
E 31 St & 3 Ave	(7, 4)
Gansevoort St & Hudson St	(8, 4)
E 68 St & Madison Ave	(1, 0)
Lafayette Ave & St James Pl	(5, 3)
W 87 St & Amsterdam Ave	(1, 1)
6 Ave & Broome St	(5, 10)
Railroad Ave & Kay Ave	(0, 1)
Banker St & Meserole Ave	(6, 5)
Lafayette Ave & Classon Ave	(2, 1)
3 Ave & E 71 St	(4, 1)
9 St & 44 Rd	(2, 1)
E 16 St & 5 Ave	(9, 4)
Lincoln Pl & Classon Ave	(1, 1)
Prospect Park West & 8 St	(2, 2)
Hope St & Union Ave	(5, 1)
Grand St & Havemeyer St	(2, 4)
Henry St & Degraw St	(1, 1)
E 68 St & 3 Ave	(0, 4)
Queens Plaza North & Crescent St	(1, 1)
N 15 St & Wythe Ave	(0, 3)
Metropolitan Ave & Meeker Ave	(2, 7)
Grand Army Plaza & Central Park S	(4, 2)
5 St & 6 Ave	(1, 0)
Meserole Ave & Manhattan Ave	(3, 6)
S 5 Pl & S 5 St	(5, 1)
W 116 St & Broadway	(0, 2)
Pike St & E Broadway	(6, 10)
14 St & 7 Ave	(2, 3)
Harrison St & Hudson St	(3, 5)
State St & Smith St	(0, 4)
Mott St & Prince St	(15, 7)
Clermont Ave & Lafayette Ave	(1, 1)
8 Ave & W 52 St	(2, 7)
Cadman Plaza E & Johnson St	(2, 3)
Division St & Bowery	(7, 4)
Eastern Pkwy & Washington Ave	(6, 6)
Graham Ave & Withers St	(1, 0)
Court St & Nelson St	(1, 2)
48 Ave & 30 Pl	(0, 1)
Norfolk St & Broome St	(5, 2)
Clinton St & Grand St	(5, 13)
Lewis Ave & Madison St	(1, 0)
Madison St & Clinton St	(6, 7)
Metropolitan Ave & Bedford Ave	(5, 4)
Roebling St & N 4 St	(1, 0)
Frost St & Meeker Ave	(2, 0)
Throop Ave & Myrtle Ave	(2, 0)
Driggs Ave & N 9 St	(6, 0)
E 41 St & Madison Ave	(7, 4)
Central Park W & W 96 St	(4, 1)
Devoe St & Lorimer St	(3, 1)
Van Brunt St & Van Dyke St	(0, 1)
Broadway & Roebling St	(1, 1)
Prospect Pl & 6 Ave	(2, 0)
Lexington Ave & E 36 St	(4, 7)
E 102 St & 1 Ave	(0, 1)
Suydam St & Knickerbocker Ave	(0, 1)
E 84 St & Park Ave	(1, 2)
5 Ave & E 63 St	(3, 5)
E 5 St & Avenue C	(2, 2)
Pleasant Ave & E 116 St	(1, 1)
Pearl St & Anchorage Pl	(4, 9)
W 22 St & 8 Ave	(10, 13)
Fulton St & Grand Ave	(2, 0)
21 St & Queens Plaza North	(3, 1)
Bergen St & Flatbush Ave	(1, 6)
E 81 St & Park Ave	(1, 1)
E 60 St & York Ave	(1, 0)
Flushing Ave & Vanderbilt Ave	(3, 3)
Avenue D & E 8 St	(3, 5)
