Lewis Ave & Kosciuszko St	(1, 0)
Union St & 4 Ave	(1, 2)
Stanton St & Norfolk St	(6, 2)
N 12 St & Bedford Ave	(2, 0)
E 97 St & Madison Ave	(2, 0)
Center Blvd & 48 Ave	(4, 5)
Catherine St & Monroe St	(2, 2)
S 5 Pl & S 5 St	(4, 8)
Greenpoint Ave & Manhattan Ave	(4, 3)
Pitt St & Stanton St	(1, 3)
1 Ave & E 44 St	(11, 7)
Front St & Washington St	(3, 6)
Old Fulton St	(1, 5)
Suydam St & Knickerbocker Ave	(1, 0)
E 91 St & Park Ave	(1, 3)
Mercer St & Spring St	(7, 15)
Madison Ave & E 99 St	(1, 0)
5 Ave & E 78 St	(4, 4)
34 Ave & 13 St	(1, 1)
Bus Slip & State St	(4, 8)
Broadway & W 29 St	(12, 11)
Fulton St & Grand Ave	(4, 0)
Hicks St & Montague St	(1, 2)
DeKalb Ave & S Portland Ave	(2, 1)
Lexington Ave & E 36 St	(2, 4)
W 35 St & Dyer Ave	(3, 0)
Park Pl & Church St	(6, 0)
E 16 St & 5 Ave	(6, 1)
Rivington St & Chrystie St	(5, 4)
Willoughby Ave & Walworth St	(0, 1)
Dean St & Franklin Ave	(2, 1)
E 84 St & 3 Ave	(1, 0)
Douglass St & 3 Ave	(1, 2)
Maiden Ln & Pearl St	(4, 1)
6 Ave & 12 St	(0, 1)
Court St & Nelson St	(2, 0)
MacDougal St & Washington Sq	(6, 4)
Carroll St & Smith St	(1, 2)
Park Ave & St Edwards St	(0, 1)
Vernon Blvd & 47 Rd	(2, 0)
Eastern Pkwy & Franklin Ave	(5, 2)
Berkeley Pl & 7 Ave	(1, 2)
E 67 St & Park Ave	(2, 0)
E 11 St & 2 Ave	(4, 1)
President St & Henry St	(1, 0)
Lafayette Ave & Fort Greene Pl	(4, 5)
Frost St & Meeker Ave	(4, 2)
Emerson Pl & Myrtle Ave	(2, 0)
Boerum St & Broadway	(0, 1)
Broadway & Roebling St	(2, 2)
47 Ave & Skillman Ave	(1, 1)
E 27 St & 1 Ave	(1, 3)
DeKalb Ave & Vanderbilt Ave	(2, 0)
LaGuardia Pl & W 3 St	(2, 8)
Hope St & Union Ave	(5, 2)
Washington Ave & Park Ave	(1, 1)
Cumberland St & Lafayette Ave	(3, 6)
