Clinton Ave & Flushing Ave	(3, 2)
Greenpoint Ave & Manhattan Ave	(2, 3)
MacDougal St & Washington Sq	(3, 2)
Amsterdam Ave & W 79 St	(2, 3)
Flushing Ave & Vanderbilt Ave	(1, 2)
Berkeley Pl & 7 Ave	(2, 5)
Dean St & Hoyt St	(1, 0)
Madison St & Montgomery St	(3, 2)
Carlton Ave & Park Ave	(1, 1)
2 Ave & E 31 St	(5, 4)
Macon St & Nostrand Ave	(2, 2)
W 63 St & Broadway	(2, 1)
India St & Manhattan Ave	(2, 2)
11 St & 43 Ave	(0, 1)
Grand Army Plaza & Central Park S	(3, 1)
W 78 St & Broadway	(3, 2)
Duane St & Greenwich St	(2, 5)
W 87 St & Amsterdam Ave	(1, 0)
Emerson Pl & Myrtle Ave	(1, 0)
W 49 St & 8 Ave	(4, 3)
Perry St & Bleecker St	(3, 1)
E 89 St & 3 Ave	(0, 3)
44 Dr & 21 St	(0, 2)
Canal St & Rutgers St	(2, 2)
Leonard St & Nassau Ave	(2, 1)
W 89 St & Columbus Ave	(0, 1)
Concord St & Bridge St	(2, 0)
Riverside Dr & W 78 St	(0, 3)
Avenue D & E 12 St	(1, 0)
3 St & 3 Ave	(3, 0)
Berkeley Pl & 6 Ave	(1, 0)
Cathedral Pkwy & Broadway	(1, 0)
2 Ave & E 96 St	(1, 0)
E 58 St &  1 Ave (NW Corner)	(5, 1)
5 Ave & 3 St	(1, 1)
10 St & 5 Ave	(1, 0)
W 67 St & Broadway	(4, 3)
West End Ave & W 107 St	(0, 1)
E 85 St & York Ave	(2, 0)
Catherine St & Monroe St	(1, 2)
Lexington Ave & E 36 St	(2, 3)
Rivington St & Chrystie St	(3, 1)
E 58 St & 1 Ave (NE Corner)	(2, 0)
Baltic St & 5 Ave	(0, 1)
Garfield Pl & 8 Ave	(0, 1)
Kane St & Clinton St	(1, 3)
Cumberland St & Lafayette Ave	(0, 2)
Columbus Ave & W 95 St	(0, 1)
W 92 St & Broadway	(1, 2)
21 St & 38 Ave	(0, 1)
Amsterdam Ave & W 66 St	(0, 1)
W 100 St & Manhattan Ave	(0, 2)
Carroll St & 5 Ave	(1, 1)
Fulton St & Utica Ave	(0, 1)
Central Park W & W 96 St	(0, 1)
Central Ave & Flushing Ave	(1, 0)
E 47 St & 2 Ave	(0, 1)
Frederick Douglass Blvd & W 112 St	(0, 1)
Columbus Ave & W 103 St	(0, 1)
Frederick Douglass Blvd & W 117 St	(0, 1)
Park Ave & E 124 St	(0, 1)
5 Ave & E 63 St	(1, 3)
St Nicholas Ave & Manhattan Ave	(1, 0)
Washington Ave & Park Ave	(1, 2)
Metropolitan Ave & Meeker Ave	(3, 1)
E 67 St & Park Ave	(0, 1)
8 Ave & W 52 St	(3, 1)
DeKalb Ave & Vanderbilt Ave	(0, 1)
E 109 St & 3 Ave	(0, 2)
Duffield St & Willoughby St	(3, 2)
Pulaski St & Marcus Garvey Blvd	(0, 1)
1 Ave & E 110 St	(0, 1)
W 90 St & Amsterdam Ave	(0, 3)
Van Brunt St & Van Dyke St	(0, 1)
S Portland Ave & Hanson Pl	(1, 0)
Clark St & Henry St	(0, 1)
Pleasant Ave & E 120 St	(0, 1)
E 72 St & Park Ave	(2, 1)
3 Ave & Schermerhorn St	(0, 1)
Vernon Blvd & 41 Rd	(1, 1)
31 St & Thomson Ave	(1, 0)
Riverside Dr & W 91 St	(1, 1)
Lafayette Ave & Classon Ave	(1, 3)
N 12 St & Bedford Ave	(0, 1)
Irving Ave & Jefferson St	(1, 0)
St Johns Pl & Washington Ave	(1, 0)
Adelphi St & Myrtle Ave	(1, 0)
Market St & Cherry St	(0, 1)
Clermont Ave & Lafayette Ave	(0, 1)
48 Ave & 5 St	(0, 2)
Willoughby Ave & Wyckoff Ave	(1, 0)
W 100 St & Broadway	(3, 0)
Carroll St & Columbia St	(0, 1)
Montgomery St & Franklin Ave	(0, 1)
W 76 St & Columbus Ave	(1, 1)
Lafayette Ave & Fort Greene Pl	(1, 0)
Union St & 4 Ave	(2, 0)
Willoughby Ave & Walworth St	(0, 1)
St James Pl & Oliver St	(0, 2)
Kosciuszko St & Tompkins Ave	(0, 3)
Clinton St & Joralemon St	(1, 1)
East End Ave & E 86 St	(0, 2)
Union Ave & Jackson St	(1, 1)
Union Ave & N 12 St	(0, 2)
Bond St & Fulton St	(0, 1)
Richardson St & N Henry St	(1, 1)
Carlton Ave & Dean St	(1, 1)
Grand St & Havemeyer St	(1, 1)
Driggs Ave & N 9 St	(1, 0)
6 Ave & 9 St	(0, 1)
Madison St & Clinton St	(0, 1)
Graham Ave & Withers St	(0, 1)
Lenox Ave & W 126 St	(0, 1)
W 104 St & Amsterdam Ave	(1, 1)
31 Ave & Crescent St	(0, 1)
Berry St & N 8 St	(2, 0)
Schermerhorn St & Court St	(0, 1)
W 84 St & Broadway	(0, 1)
Bedford Ave & Bergen St	(3, 1)
Tompkins Ave & Hopkins St	(1, 0)
Myrtle Ave & Marcy Ave	(1, 0)
E 81 St & Park Ave	(1, 0)
Butler St & Court St	(0, 1)
Frederick Douglass Blvd & W 115 St	(1, 0)
Monroe St & Bedford Ave	(0, 1)
S 4 St & Rodney St	(1, 0)
E 68 St & Madison Ave	(1, 0)
Kosciuszko St & Nostrand Ave	(1, 0)
Stanton St & Mangin St	(1, 0)
Albany Ave & Fulton St	(0, 2)
NYCBS Depot - GOW	(1, 0)
Scholes St & Manhattan Ave	(0, 1)
Myrtle Ave & St Edwards St	(1, 0)
W 50 St & 9 Ave	(1, 0)
E 84 St & Park Ave	(0, 1)
31 St & Astoria Blvd	(0, 1)
