E 74 St & 1 Ave	(1, 8)
W 107 St & Columbus Ave	(2, 0)
Bergen St & Flatbush Ave	(2, 5)
W 17 St & 8 Ave	(5, 6)
W 13 St & 5 Ave	(2, 2)
Broadway & W 25 St	(11, 8)
W 20 St & 7 Ave	(2, 1)
Amsterdam Ave & W 66 St	(5, 2)
Graham Ave & Herbert St	(2, 0)
Lafayette St & E 8 St	(15, 7)
W 54 St & 9 Ave	(1, 8)
John St & William St	(2, 8)
E 39 St & 3 Ave	(2, 7)
George St & Wilson Ave	(4, 0)
Richardson St & N Henry St	(6, 2)
Degraw St & Smith St	(3, 0)
6 Ave & W 33 St	(9, 5)
Jay St & Tech Pl	(4, 7)
MacDougal St & Washington Sq	(4, 8)
Newtown Ave & 23 St	(2, 0)
Wyckoff Av & Jefferson St	(2, 1)
Macon St & Nostrand Ave	(3, 1)
Fulton St & William St	(11, 5)
W 15 St & 7 Ave	(5, 6)
46 Ave & 5 St	(7, 5)
Bayard St & Baxter St	(1, 8)
Union Ave & N 12 St	(5, 6)
Graham Ave & Withers St	(1, 4)
Lorimer St & Broadway	(2, 2)
Stagg St & Union Ave	(6, 1)
2 Ave & E 72 St	(4, 7)
45 Rd & 11 St	(3, 3)
Huron St & Franklin St	(4, 8)
Bayard St & Leonard St	(1, 2)
E 72 St & York Ave	(6, 5)
E 25 St & 1 Ave	(2, 4)
Underhill Ave & Lincoln Pl	(2, 0)
DeKalb Ave & Hudson Ave	(2, 2)
Scholes St & Manhattan Ave	(4, 1)
E 48 St & 3 Ave	(2, 1)
Forsyth St & Broome St	(1, 12)
E 6 St & Avenue D	(6, 5)
Broadway & Moylan Pl	(3, 4)
Broadway & W 56 St	(3, 0)
Schermerhorn St & Court St	(2, 0)
Broadway & Battery Pl	(10, 7)
Boerum St & Broadway	(2, 0)
5 Ave & E 73 St	(6, 4)
Emerson Pl & Myrtle Ave	(1, 1)
E 16 St & 5 Ave	(4, 7)
E 81 St & 3 Ave	(3, 3)
Mercer St & Bleecker St	(4, 5)
W 78 St & Broadway	(0, 3)
Pershing Square South	(4, 2)
Norfolk St & Broome St	(3, 6)
E 6 St & Avenue B	(5, 8)
3 St & Prospect Park West	(2, 7)
Jackson St & Leonard St	(2, 4)
W 13 St & 7 Ave	(3, 4)
Leonard St & Nassau Ave	(2, 3)
Center Blvd & 48 Ave	(3, 5)
W 56 St & 10 Ave	(2, 4)
Willoughby Ave & Wyckoff Ave	(1, 1)
Sterling Pl & Bedford Ave	(0, 1)
W Broadway & Spring Street	(7, 11)
Washington Ave & Greene Ave	(1, 4)
Pike St & E Broadway	(11, 6)
Spruce St & Nassau St	(3, 5)
3 Ave & E 72 St	(1, 2)
Henry St & Atlantic Ave	(3, 1)
Humboldt St & Varet St	(3, 1)
Lexington Ave & E 36 St	(1, 1)
Central Park West & W 76 St	(2, 1)
E 97 St & Madison Ave	(2, 0)
Broadway & W 53 St	(3, 2)
Lexington Ave & Classon Ave	(5, 3)
E 5 St & Avenue C	(5, 5)
W 37 St & 10 Ave	(13, 2)
Harrison St & Hudson St	(1, 1)
E 128 St & Madison Ave	(0, 1)
Cathedral Pkwy & Broadway	(1, 0)
W 52 St & 11 Ave	(5, 6)
DeKalb Ave & S Portland Ave	(6, 5)
Bank St & Washington St	(8, 7)
Roebling St & N 4 St	(4, 0)
Driggs Ave & Lorimer St	(1, 1)
Park Pl & Church St	(7, 1)
Franklin St & W Broadway	(4, 1)
W 34 St & 11 Ave	(12, 10)
University Pl & E 8 St	(2, 2)
5 Ave & E 63 St	(3, 2)
Center Blvd & 51 Ave	(4, 2)
W 116 St & Broadway	(2, 3)
Avenue D & E 3 St	(3, 3)
Queens Plaza North & Crescent St	(4, 5)
W 49 St & 8 Ave	(4, 2)
State St & Smith St	(1, 1)
Atlantic Ave & Fort Greene Pl	(3, 3)
Avenue D & E 8 St	(6, 1)
Central Park West & W 68 St	(3, 3)
Cadman Plaza E & Johnson St	(8, 1)
48 Ave & 5 St	(3, 0)
5 Ave & 3 St	(3, 2)
DeKalb Ave & Franklin Ave	(1, 1)
Dock 72 Way & Market St	(0, 1)
Madison Ave & E 82 St	(3, 1)
Lawrence St & Willoughby St	(5, 3)
Clinton St & Joralemon St	(2, 0)
E 102 St & 1 Ave	(0, 6)
Grand Ave & Bergen St	(2, 6)
Dean St & Franklin Ave	(3, 6)
5 Ave & E 29 St	(4, 7)
FDR Drive & E 35 St	(9, 9)
Crescent St & 34 Ave	(1, 0)
Eckford St & Engert Ave	(2, 2)
DeKalb Ave & Vanderbilt Ave	(2, 0)
E 48 St & 5 Ave	(1, 2)
Dean St & 4 Ave	(0, 3)
E 85 St & York Ave	(3, 3)
E 51 St & 1 Ave	(3, 6)
Flushing Ave & Vanderbilt Ave	(2, 5)
Clinton St & Grand St	(6, 17)
E 102 St & Park Ave	(0, 1)
Amsterdam Ave & W 73 St	(3, 6)
5 St & 51 Ave	(1, 0)
Cliff St & Fulton St	(9, 8)
Richards St & Delavan St	(1, 0)
W 37 St & 5 Ave	(1, 1)
E 32 St & Park Ave	(1, 4)
Mercer St & Spring St	(6, 9)
Franklin St & Dupont St	(3, 9)
35 Ave & 37 St	(1, 0)
Front St & Washington St	(7, 1)
E 91 St & Park Ave	(2, 3)
Suydam St & Knickerbocker Ave	(3, 0)
E 47 St & 1 Ave	(0, 1)
Court St & State St	(1, 1)
1 Ave & E 62 St	(8, 5)
W 50 St & 9 Ave	(2, 6)
N 15 St & Wythe Ave	(0, 1)
Carlton Ave & Dean St	(3, 2)
14 St & 7 Ave	(2, 2)
Washington Ave & Park Ave	(2, 2)
5 Ave & E 78 St	(2, 5)
Hicks St & Montague St	(8, 1)
Nassau Ave & Russell St	(2, 2)
Greenwich Ave & Charles St	(5, 2)
Broadway & W 49 St	(2, 3)
Liberty St & Broadway	(11, 3)
W 4 St & 7 Ave S	(10, 17)
E 66 St & Madison Ave	(0, 1)
Driggs Ave & N Henry St	(2, 2)
Nostrand Ave & Myrtle Ave	(0, 1)
Myrtle Ave & Marcy Ave	(1, 1)
E 10 St & Avenue A	(5, 8)
Amsterdam Ave & W 82 St	(2, 1)
23 Ave & 27 St	(1, 0)
34 Ave & 13 St	(0, 2)
E 52 St & 2 Ave	(5, 11)
Halsey St & Tompkins Ave	(0, 1)
21 St & 43 Ave	(1, 0)
Division St & Bowery	(6, 2)
2 Ave & E 104 St	(1, 0)
31 St & Newtown Ave	(2, 0)
Bergen St & Smith St	(2, 0)
Grand St & Havemeyer St	(3, 1)
St James Pl & Pearl St	(5, 0)
E 12 St & 3 Ave	(7, 4)
Catherine St & Monroe St	(4, 6)
49 Ave & 21 St	(1, 1)
Kosciuszko St & Tompkins Ave	(0, 1)
Lenox Ave & W 117 St	(1, 0)
Central Park West & W 85 St	(5, 2)
8 Ave & W 33 St	(1, 4)
Fulton St & Grand Ave	(2, 2)
W 47 St & 10 Ave	(1, 3)
Meserole Ave & Manhattan Ave	(1, 3)
W 42 St & 8 Ave	(2, 3)
Riverside Blvd & W 67 St	(4, 6)
Lenox Ave & W 126 St	(3, 0)
E 30 St & Park Ave S	(1, 0)
Marcy Ave & Lafayette Ave	(0, 1)
Sharon St & Olive St	(1, 0)
W 52 St & 5 Ave	(1, 3)
E 106 St & Madison Ave	(2, 1)
McKibbin St & Bogart St	(1, 2)
Cadman Plaza West & Montague St	(2, 7)
St James Pl & Oliver St	(5, 4)
W 26 St & 8 Ave	(6, 6)
Park Ave & Marcus Garvey Blvd	(1, 1)
Washington Park	(4, 4)
Carlton Ave & Park Ave	(1, 0)
Pulaski St & Marcus Garvey Blvd	(3, 1)
10 St & 7 Ave	(1, 1)
Cumberland St & Lafayette Ave	(3, 1)
Lafayette Ave & St James Pl	(3, 0)
E 72 St & Park Ave	(5, 1)
W 52 St & 6 Ave	(3, 0)
E 53 St & Madison Ave	(2, 1)
Park Ave & St Edwards St	(0, 2)
E 115 St & Madison Ave	(0, 1)
E 43 St & 5 Ave	(3, 1)
Devoe St & Lorimer St	(0, 2)
Stuyvesant Walk & 1 Av Loop	(2, 0)
