Central Park West & W 102 St	(1, 0)
Duane St & Greenwich St	(5, 4)
9 St & 44 Rd	(0, 1)
E 91 St & Park Ave	(0, 1)
Willoughby Ave & Hall St	(2, 1)
E 109 St & 3 Ave	(0, 1)
Montrose Ave & Bushwick Ave	(2, 4)
11 Ave & W 59 St	(13, 12)
Central Park North & Adam Clayton Powell Blvd	(1, 1)
Allen St & Rivington St	(17, 15)
W 34 St & 11 Ave	(24, 25)
E 84 St & Park Ave	(5, 4)
E 47 St & Park Ave	(0, 3)
Grand Army Plaza & Plaza St West	(11, 5)
11 Ave & W 41 St	(10, 8)
Carroll St & 6 Ave	(2, 2)
E 20 St & FDR Drive	(11, 10)
E 48 St & 5 Ave	(5, 10)
Market St & Cherry St	(3, 4)
W 44 St & 5 Ave	(4, 3)
E 72 St & Park Ave	(0, 6)
Berkeley Pl & 6 Ave	(2, 0)
Berkeley Pl & 7 Ave	(6, 4)
Broadway & W 41 St	(7, 15)
E 85 St & York Ave	(3, 0)
Henry St & Atlantic Ave	(3, 3)
Monroe St & Bedford Ave	(1, 0)
5 Ave & E 63 St	(1, 6)
5 Ave & E 88 St	(6, 8)
W 63 St & Broadway	(8, 4)
Broadway & E 22 St	(18, 19)
E 89 St & York Ave	(5, 4)
W 67 St & Broadway	(4, 9)
Broadway & W 51 St	(2, 5)
Bedford Ave & Bergen St	(3, 2)
6 Ave & Broome St	(15, 13)
Madison Ave & E 82 St	(3, 5)
Monroe St & Classon Ave	(4, 4)
E 39 St & 3 Ave	(5, 5)
3 Ave & Schermerhorn St	(4, 2)
Amsterdam Ave & W 79 St	(6, 2)
6 Ave & 12 St	(1, 2)
Park Ave & St Edwards St	(0, 1)
Clermont Ave & Park Ave	(4, 2)
Grand St & Elizabeth St	(16, 24)
Central Park S & 6 Ave	(7, 5)
Garfield Pl & 8 Ave	(4, 6)
Central Park West & W 100 St	(1, 1)
Liberty St & Broadway	(7, 11)
Reade St & Broadway	(3, 4)
W 20 St & 11 Ave	(28, 15)
W 100 St & Broadway	(2, 6)
E 55 St & Lexington Ave	(1, 2)
E 81 St & 3 Ave	(3, 3)
Spruce St & Nassau St	(4, 11)
Center Blvd & 48 Ave	(7, 1)
E 53 St & Madison Ave	(3, 4)
Duffield St & Willoughby St	(3, 2)
Lexington Ave & Classon Ave	(1, 3)
LaGuardia Pl & W 3 St	(6, 11)
Kent Ave & S 11 St	(8, 5)
W 25 St & 6 Ave	(6, 12)
28 St & 41 Ave	(3, 1)
Wyckoff St & Bond St	(1, 0)
Broadway & W 25 St	(23, 15)
W 56 St & 10 Ave	(4, 7)
5 Ave & E 73 St	(6, 6)
Huron St & Franklin St	(6, 11)
Dean St & Franklin Ave	(0, 1)
7 Ave & Central Park South	(7, 5)
Barclay St & Church St	(4, 6)
Perry St & Bleecker St	(12, 6)
28 St & 38 Ave	(1, 1)
Bond St & Bergen St	(0, 3)
George St & Wilson Ave	(2, 3)
W 110 St & Amsterdam Ave	(2, 1)
MacDougal St & Washington Sq	(10, 8)
E 32 St & Park Ave	(8, 6)
Bushwick Ave & Powers St	(2, 6)
Catherine St & Monroe St	(10, 4)
Emerson Pl & Myrtle Ave	(2, 2)
Laight St & Hudson St	(5, 6)
W 43 St & 6 Ave	(1, 3)
Baltic St & 5 Ave	(1, 2)
South St & Gouverneur Ln	(17, 30)
E 6 St & Avenue B	(22, 6)
Carlton Ave & Dean St	(2, 3)
3 Ave & E 72 St	(0, 2)
Stanton St & Norfolk St	(9, 5)
Bialystoker Pl & Delancey St	(0, 2)
DeKalb Ave & Vanderbilt Ave	(7, 4)
Wythe Ave & Metropolitan Ave	(12, 7)
Vernon Blvd & 10 St	(2, 4)
48 Ave & 5 St	(3, 1)
Columbus Ave & W 72 St	(9, 7)
W 78 St & Broadway	(9, 4)
6 Ave & 9 St	(3, 6)
Mercer St & Bleecker St	(10, 9)
W 42 St & Dyer Ave	(5, 2)
W 106 St & Central Park West	(0, 2)
Washington Pl & 6 Ave	(10, 12)
Washington Ave & Greene Ave	(3, 2)
East End Ave & E 86 St	(3, 4)
S Portland Ave & Hanson Pl	(1, 2)
E 68 St & 3 Ave	(2, 1)
W 95 St & Broadway	(1, 3)
Central Park West & W 72 St	(3, 8)
Pike St & E Broadway	(8, 2)
Washington Pl & Broadway	(7, 4)
E 55 St & 2 Ave	(6, 7)
Willoughby Ave & Walworth St	(3, 7)
E 55 St & 3 Ave	(3, 2)
5 Ave & E 103 St	(2, 2)
3 St & Prospect Park West	(3, 1)
Franklin St & W Broadway	(7, 7)
W 54 St & 9 Ave	(9, 4)
E 84 St & 1 Ave	(9, 7)
28 Ave & 35 St	(1, 1)
Prospect Pl & 6 Ave	(2, 3)
Prospect Park West & 8 St	(3, 2)
E 12 St & 4 Av	(7, 11)
West End Ave & W 94 St	(5, 5)
5 Ave & E 29 St	(6, 1)
W 37 St & 5 Ave	(4, 5)
Stanton St & Chrystie St	(18, 19)
W 18 St & 9 Ave	(2, 9)
21 St & 31 Dr	(1, 0)
W 87 St & Amsterdam Ave	(1, 0)
Underhill Ave & Lincoln Pl	(2, 2)
Columbus Ave & W 95 St	(2, 2)
Driggs Ave & Lorimer St	(3, 8)
44 Dr & 21 St	(2, 1)
University Pl & E 8 St	(5, 14)
E 65 St & 2 Ave	(4, 2)
Concord St & Bridge St	(0, 1)
31 Ave & 34 St	(2, 0)
McKibbin St & Manhattan Ave	(1, 0)
Nassau Ave & Russell St	(6, 12)
Rogers Ave & Sterling St	(0, 2)
W 90 St & Amsterdam Ave	(0, 1)
Broadway & W 53 St	(4, 8)
Cathedral Pkwy & Broadway	(3, 3)
Union Ave & Wallabout St	(2, 1)
Graham Ave & Herbert St	(4, 2)
W 129 St & Convent Ave	(0, 2)
Old Slip & Front St	(8, 4)
31 St & Astoria Blvd	(0, 1)
E 102 St & Park Ave	(1, 0)
Mercer St & Spring St	(23, 16)
Metropolitan Ave & Bedford Ave	(3, 2)
DeKalb Ave & Franklin Ave	(1, 2)
Front St & Maiden Ln	(10, 6)
W 88 St & West End Ave	(4, 1)
Atlantic Ave & Furman St	(5, 7)
Lincoln Pl & Classon Ave	(1, 0)
Driggs Ave & N 9 St	(2, 3)
Cliff St & Fulton St (Old)	(9, 7)
Lenox Ave & W 115 St	(1, 0)
Pacific St & Nevins St	(1, 0)
Central Ave & Starr Street	(1, 1)
W 106 St & Amsterdam Ave	(2, 4)
N 12 St & Bedford Ave	(2, 5)
Driggs Ave & N Henry St	(4, 2)
Fulton St & Rockwell Pl	(1, 7)
Washington Park	(2, 3)
Adelphi St & Myrtle Ave	(2, 1)
31 St & Broadway	(3, 0)
Myrtle Ave & St Edwards St	(0, 1)
Bank St & Washington St	(6, 21)
Broadway & Moylan Pl	(3, 5)
Throop Ave & Myrtle Ave	(1, 0)
Amsterdam Ave & W 66 St	(4, 5)
Avenue D & E 8 St	(5, 6)
Banker St & Meserole Ave	(5, 3)
Bergen St & Smith St	(3, 3)
Frost St & Meeker Ave	(1, 0)
Graham Ave & Grand St	(2, 4)
Stagg St & Union Ave	(3, 1)
Kosciuszko St & Nostrand Ave	(1, 0)
West Drive & Prospect Park West	(6, 2)
W 26 St & 10 Ave	(6, 6)
Water - Whitehall Plaza	(5, 2)
E 78 St & 2 Ave	(5, 1)
W 45 St & 8 Ave	(4, 10)
Washington Ave & Park Ave	(0, 1)
FDR Drive & E 35 St	(10, 9)
Bayard St & Baxter St	(6, 9)
Cambridge Pl & Gates Ave	(2, 1)
Bushwick Ave & Stagg St	(1, 0)
Amsterdam Ave & W 82 St	(1, 4)
Van Brunt St & Van Dyke St	(0, 1)
W 52 St & 11 Ave	(7, 23)
Crown St & Bedford Ave	(0, 1)
34 Ave & 38 St	(0, 1)
Lefferts Pl & Franklin Ave	(2, 1)
Franklin Ave & Myrtle Ave	(1, 1)
Devoe St & Lorimer St	(1, 2)
Greene Ave & Nostrand Ave	(1, 0)
Center Blvd & 51 Ave	(5, 5)
W 13 St & 7 Ave	(17, 8)
Roebling St & N 4 St	(3, 2)
Lexington Ave & E 36 St	(2, 6)
Clermont Ave & Lafayette Ave	(1, 3)
E 123 St & Lexington Ave	(0, 2)
Crescent St & Broadway	(0, 2)
Bergen St & Vanderbilt Ave	(4, 1)
Frederick Douglass Blvd & W 115 St	(0, 4)
N 15 St & Wythe Ave	(4, 4)
Grand Ave & Bergen St	(1, 1)
E 52 St & 2 Ave	(5, 8)
Douglass St & 3 Ave	(0, 3)
Monroe St & Tompkins Ave	(0, 1)
Montgomery St & Franklin Ave	(0, 1)
Meserole Ave & Manhattan Ave	(3, 2)
India St & West St	(4, 2)
Columbia St & Kane St	(0, 3)
E 41 St & Madison Ave	(2, 2)
Court St & State St	(2, 4)
W 50 St & 9 Ave	(8, 10)
3 St & 3 Ave	(2, 3)
5 St & 6 Ave	(1, 0)
Flushing Ave & Vanderbilt Ave	(3, 1)
Johnson St & Gold St	(1, 0)
Jay St & Tech Pl	(1, 0)
Bedford Ave & S 9 St	(2, 1)
Fulton St & Waverly Ave	(3, 5)
E 76 St & Park Ave	(5, 1)
Madison St & Clinton St	(5, 5)
Milton St & Franklin St	(2, 12)
Adam Clayton Powell Blvd & W 118 St	(2, 0)
Queens Plaza North & Crescent St	(2, 3)
Franklin Ave & St Marks Ave	(0, 2)
Columbia St & Degraw St	(0, 2)
Central Park West & W 85 St	(9, 10)
Adam Clayton Powell Blvd & W 115 St	(0, 1)
Cadman Plaza West & Montague St	(2, 1)
36 Ave & 31 St	(0, 1)
West End Ave & W 107 St	(0, 4)
31 St & Newtown Ave	(0, 2)
Smith St & 9 St	(2, 1)
3 Ave & E 62 St	(4, 5)
E 10 St & 5 Ave	(8, 3)
Avenue D & E 12 St	(2, 5)
Pearl St & Hanover Square	(6, 5)
State St & Smith St	(2, 3)
E 60 St & York Ave	(3, 1)
Fulton St & Clermont Ave	(0, 2)
Verona Pl & Fulton St	(0, 2)
Pike St & Monroe St	(6, 10)
Leonard St & Nassau Ave	(2, 4)
E 43 St & 5 Ave	(7, 3)
45 Rd & 11 St	(1, 3)
Plaza St West & Flatbush Ave	(4, 1)
Carroll St & Smith St	(5, 2)
Wyckoff Av & Jefferson St	(4, 1)
E 106 St & 1 Ave	(1, 1)
Knickerbocker Ave & Thames St	(2, 0)
Willoughby Ave & Wyckoff Ave	(1, 4)
31 Ave & Crescent St	(1, 0)
5 St & Market St	(2, 0)
E 110 St & Madison Ave	(0, 1)
Pearl St & Anchorage Pl	(2, 1)
W 113 St & Broadway	(1, 0)
Vernon Blvd & 47 Rd	(1, 4)
W 116 St & Amsterdam Ave	(1, 1)
Carlton Ave & Flushing Ave	(1, 0)
7 St & 5 Ave	(0, 1)
Graham Ave & Conselyea St	(2, 3)
E 58 St & 1 Ave (NE Corner)	(1, 3)
1 Ave & E 110 St	(0, 2)
Marcy Ave & Lafayette Ave	(1, 1)
Lexington Ave & E 63 St	(1, 3)
Dean St & Hoyt St	(1, 0)
W 116 St & Broadway	(2, 0)
St James Pl & Pearl St	(0, 2)
Marcus Garvey Blvd & Macon St	(1, 0)
Lenox Ave & W 111 St	(1, 2)
Henry St & Middagh St	(2, 1)
Clinton Ave & Flushing Ave	(0, 3)
Dock 72 Way & Market St	(1, 1)
Ditmars Blvd & 19 St	(0, 4)
5 Ave & E 93 St	(3, 1)
Fulton St & Utica Ave	(0, 4)
E 53 St & 3 Ave	(2, 3)
Irving Ave & DeKalb Ave	(4, 1)
Greene Av & Myrtle Av	(2, 2)
3 Ave & Carroll St	(0, 1)
14 St & 5 Ave	(1, 1)
Richards St & Delavan St	(0, 3)
Vernon Blvd & 41 Rd	(0, 3)
Butler St & Court St	(1, 1)
St Johns Pl & Washington Ave	(0, 2)
Sigourney St & Columbia St	(1, 0)
Union St & 4 Ave	(2, 2)
W 82 St & Central Park West	(4, 1)
Nassau Ave & Newell St	(0, 2)
Wolcott St & Dwight St	(1, 1)
Richardson St & N Henry St	(1, 2)
44 Dr & Jackson Ave	(1, 1)
34 St & 35 Ave	(1, 0)
Macon St & Nostrand Ave	(1, 0)
Central Ave & Flushing Ave	(1, 1)
Dwight St & Van Dyke St	(1, 0)
Pierrepont St & Monroe Pl	(1, 0)
Nassau St & Navy St	(0, 2)
Steinway St & 23 Ave	(0, 1)
47 Ave & 31 St	(2, 0)
Kosciuszko St & Tompkins Ave	(0, 1)
Cedar St & Myrtle Ave	(1, 0)
Franklin Ave & Empire Blvd	(0, 1)
Amsterdam Ave & W 125 St	(0, 1)
Pitt St & Stanton St	(1, 0)
Prospect Pl & Underhill Ave	(0, 2)
Devoe St & Morgan Ave	(0, 3)
31 St & Northern Blvd	(0, 1)
35 Ave & 10 St	(0, 1)
Irving Ave & Jefferson St	(1, 1)
White St & Johnson Ave	(2, 1)
W 92 St & Broadway	(1, 1)
40 Ave & 9 St	(1, 0)
E 66 St & Madison Ave	(1, 2)
Sterling Pl & Bedford Ave	(3, 1)
10 St & 5 Ave	(4, 1)
Pulaski St & Marcus Garvey Blvd	(0, 1)
Degraw St & Hoyt St	(1, 1)
1 Pl & Clinton St	(1, 1)
Smith St & 3 St	(1, 1)
31 Ave & Steinway St	(0, 1)
Broadway & Whipple St	(6, 0)
24 Ave & 26 St	(0, 3)
Schermerhorn St & Court St	(0, 1)
