Harrison St & Hudson St	(3, 3)
FDR Drive & E 35 St	(15, 11)
E 84 St & 3 Ave	(13, 10)
Barrow St & Hudson St	(17, 11)
E 16 St & 5 Ave	(18, 0)
5 Ave & E 63 St	(1, 4)
Riverside Dr & W 91 St	(3, 1)
Pier 40 - Hudson River Park	(21, 20)
1 Ave & E 44 St	(1, 7)
W 56 St & 10 Ave	(0, 8)
E 48 St & 5 Ave	(2, 2)
E 53 St & 3 Ave	(3, 2)
Washington Ave & Greene Ave	(1, 2)
Perry St & Bleecker St	(10, 12)
Madison St & Montgomery St	(2, 3)
Allen St & Stanton St	(24, 11)
Avenue D & E 12 St	(4, 3)
Graham Ave & Conselyea St	(5, 5)
E 48 St & 3 Ave	(1, 6)
Peck Slip & Front St	(6, 8)
Brooklyn Bridge Park - Pier 2	(2, 3)
E 68 St & 3 Ave	(1, 3)
W 18 St & 6 Ave	(6, 9)
Sullivan St & Washington Sq	(3, 9)
11 Ave & W 59 St	(0, 3)
Union Ave & Jackson St	(3, 1)
Dean St & 4 Ave	(3, 4)
South St & Whitehall St	(10, 8)
MacDougal St & Prince St	(12, 11)
S 5 Pl & S 5 St	(9, 6)
Mercer St & Spring St	(9, 10)
Leonard St & Church St	(3, 2)
Central Park West & W 72 St	(9, 1)
7 Ave & Park Pl	(5, 6)
Columbus Ave & W 72 St	(4, 14)
Carlton Ave & Flushing Ave	(0, 1)
East End Ave & E 86 St	(3, 2)
W 35 St & Dyer Ave	(4, 5)
W 13 St & 5 Ave	(4, 6)
E 5 St & Avenue C	(9, 3)
W 21 St & 6 Ave	(16, 15)
South End Ave & Liberty St	(32, 26)
St James Pl & Oliver St	(1, 5)
E 77 St & 3 Ave	(5, 2)
5 Ave & E 93 St	(4, 1)
Grand St & Elizabeth St	(16, 10)
E 82 St & East End Ave	(8, 4)
E 25 St & 2 Ave	(8, 8)
N 11 St & Kent Ave	(2, 7)
Amsterdam Ave & W 82 St	(1, 2)
1 Ave & E 94 St	(1, 1)
Duffield St & Willoughby St	(4, 3)
12 Ave & W 40 St	(28, 47)
E 41 St & Madison Ave	(4, 4)
Frederick Douglass Blvd & W 117 St	(1, 0)
W 49 St & 8 Ave	(5, 3)
Hicks St & Montague St	(3, 8)
Greenwich St & W Houston St	(12, 7)
Jay St & York St	(6, 5)
Park Ave & Marcus Garvey Blvd	(0, 1)
Frederick Douglass Blvd & W 115 St	(1, 1)
Meserole Ave & Manhattan Ave	(6, 4)
E 47 St & Park Ave	(2, 3)
Columbia St & Kane St	(2, 1)
Bayard St & Baxter St	(12, 10)
Clark St & Henry St	(2, 4)
E 27 St & 1 Ave	(2, 4)
27 St & Hunter St	(1, 1)
Steinway St & 28 Ave	(1, 1)
E 30 St & Park Ave S	(4, 4)
Flushing Ave & Vanderbilt Ave	(1, 3)
Rivington St & Ridge St	(7, 6)
Berkeley Pl & 7 Ave	(1, 3)
Lafayette Ave & St James Pl	(3, 5)
Pershing Square North	(15, 6)
E 20 St & Park Ave	(9, 11)
W 63 St & Broadway	(8, 6)
10 St & 7 Ave	(2, 3)
Franklin Ave & Empire Blvd	(2, 0)
14 St & 7 Ave	(6, 7)
West End Ave & W 94 St	(3, 4)
Hope St & Union Ave	(2, 3)
Barclay St & Church St	(10, 6)
Mercer St & Bleecker St	(7, 6)
E 51 St & 1 Ave	(4, 6)
Avenue D & E 8 St	(6, 2)
5 Ave & E 78 St	(5, 9)
E 91 St & 2 Ave	(2, 6)
Columbia St & Rivington St	(1, 1)
Front St & Gold St	(3, 1)
W 44 St & 5 Ave	(4, 1)
W 15 St & 6 Ave	(14, 9)
E 6 St & Avenue D	(3, 2)
Driggs Ave & N Henry St	(3, 0)
Frederick Douglass Blvd & W 112 St	(1, 1)
W 16 St & The High Line	(8, 15)
North Moore St & Greenwich St	(8, 5)
Pitt St & Stanton St	(1, 1)
W 89 St & Columbus Ave	(2, 0)
45 Rd & 11 St	(1, 4)
W 116 St & Broadway	(2, 3)
Powers St & Olive St	(3, 1)
44 Dr & Jackson Ave	(3, 4)
3 Ave & E 62 St	(3, 5)
Central Park West & W 85 St	(1, 3)
Greenwich Ave & Charles St	(9, 4)
Center Blvd & 48 Ave	(6, 3)
Union Ave & N 12 St	(1, 3)
Court St & State St	(1, 0)
Willoughby Ave & Hall St	(4, 1)
W 27 St & 7 Ave	(8, 6)
W 52 St & 5 Ave	(2, 2)
Lafayette St & E 8 St	(17, 10)
W 53 St & 10 Ave	(5, 6)
W 52 St & 11 Ave	(11, 11)
W 120 St & Claremont Ave	(0, 4)
Railroad Ave & Kay Ave	(1, 0)
Eastern Pkwy & Franklin Ave	(5, 2)
E 2 St & Avenue B	(7, 3)
State St & Smith St	(0, 3)
Henry St & Grand St	(3, 4)
W 78 St & Broadway	(5, 4)
Norfolk St & Broome St	(14, 15)
E 16 St & Irving Pl	(7, 8)
Park Pl & Franklin Ave	(1, 1)
5 Ave & E 73 St	(3, 5)
Devoe St & Lorimer St	(3, 0)
Carroll St & Bond St	(1, 0)
9 Ave & W 18 St	(8, 3)
Stanton St & Chrystie St	(6, 17)
10 Ave & W 28 St	(14, 9)
8 Ave & W 52 St	(3, 4)
3 St & Prospect Park West	(3, 2)
India St & West St	(1, 2)
Willoughby Ave & Walworth St	(2, 2)
3 Ave & Schermerhorn St	(3, 2)
Kosciuszko St & Tompkins Ave	(1, 0)
Rivington St & Chrystie St	(5, 4)
Leonard St & Nassau Ave	(2, 3)
W 11 St & 6 Ave	(4, 7)
W Broadway & Spring Street	(4, 9)
49 Ave & 21 St	(1, 2)
Bayard St & Leonard St	(1, 2)
W 34 St & 11 Ave	(10, 12)
Queens Plaza North & Crescent St	(3, 1)
7 Ave & Central Park South	(6, 1)
Bushwick Ave & Powers St	(3, 4)
Richardson St & N Henry St	(2, 4)
Lawrence St & Willoughby St	(4, 3)
7 St & 5 Ave	(1, 0)
St Marks Pl & 1 Ave	(10, 5)
W 45 St & 8 Ave	(8, 4)
Frederick Douglass Blvd & W 129 St	(1, 0)
E 102 St & 1 Ave	(1, 1)
Riverside Dr & W 72 St	(9, 8)
Washington Park	(0, 1)
Washington Pl & Broadway	(6, 10)
E 81 St & 2 Ave	(3, 4)
Front St & Washington St	(8, 7)
Carroll St & 5 Ave	(1, 0)
Broadway & W 122 St	(2, 1)
Wyckoff St & 3 Ave	(2, 0)
E 75 St & 3 Ave	(4, 2)
Prospect Park West & 8 St	(2, 3)
E 31 St & 3 Ave	(7, 3)
Union St & Bedford Ave	(0, 1)
Washington St & Gansevoort St	(17, 26)
Greene Av & Myrtle Av	(1, 0)
Dean St & Franklin Ave	(0, 3)
Bushwick Ave & McKibbin St	(1, 2)
Central Ave & Flushing Ave	(2, 2)
Cambridge Pl & Gates Ave	(0, 5)
Berry St & N 8 St	(2, 3)
Stanton St & Norfolk St	(5, 5)
W 113 St & Broadway	(1, 1)
Adelphi St & Myrtle Ave	(2, 4)
Gansevoort St & Hudson St	(11, 5)
Broadway & Moylan Pl	(11, 4)
N 12 St & Bedford Ave	(4, 1)
W 46 St & 11 Ave	(6, 3)
Lenox Ave & W 130 St	(2, 2)
Driggs Ave & Lorimer St	(5, 3)
Catherine St & Monroe St	(2, 3)
Degraw St & Hoyt St	(0, 2)
E 53 St & Madison Ave	(2, 1)
John St & William St	(7, 6)
21 St & 31 Dr	(1, 0)
Market St & Cherry St	(1, 2)
Nassau Ave & Russell St	(2, 7)
2 Ave & E 72 St	(5, 7)
Laight St & Hudson St	(1, 1)
Fulton St & Grand Ave	(1, 4)
Huron St & Franklin St	(3, 11)
Central Park S & 6 Ave	(3, 7)
6 Ave & 12 St	(2, 2)
Amsterdam Ave & W 73 St	(2, 6)
9 Ave & W 28 St	(14, 2)
Murray St & Greenwich St	(8, 3)
Cadman Plaza E & Red Cross Pl	(3, 6)
Henry St & Bay St	(0, 1)
Hanson Pl & Ashland Pl	(7, 1)
Bergen St & Vanderbilt Ave	(3, 4)
W 76 St & Columbus Ave	(3, 1)
W 42 St & 8 Ave	(3, 8)
Bond St & Fulton St	(4, 3)
LaGuardia Pl & W 3 St	(6, 7)
Bergen St & Smith St	(7, 4)
Lenox Ave & W 111 St	(7, 1)
Centre St & Chambers St	(14, 11)
Driggs Ave & N 9 St	(5, 1)
W 52 St & 6 Ave	(4, 8)
Nostrand Ave & Myrtle Ave	(2, 0)
Cliff St & Fulton St	(8, 4)
Broadway & W 36 St	(4, 3)
Eastern Pkwy & Washington Ave	(4, 0)
5 Ave & E 29 St	(5, 4)
Milton St & Franklin St	(12, 11)
Metropolitan Ave & Meeker Ave	(7, 3)
Grand Army Plaza & Central Park S	(2, 8)
E 91 St & Park Ave	(1, 0)
Carlton Ave & Park Ave	(0, 1)
Bus Slip & State St	(5, 8)
St James Pl & Pearl St	(3, 0)
Division Av & Hooper St	(1, 1)
Madison Ave & E 99 St	(6, 0)
Broadway & W 25 St	(8, 8)
Grand Ave & Bergen St	(1, 2)
Roebling St & N 4 St	(1, 2)
Clermont Ave & Park Ave	(0, 1)
Emerson Pl & Myrtle Ave	(1, 1)
W 90 St & Amsterdam Ave	(0, 1)
Old Fulton St	(3, 2)
W 74 St & Columbus Ave	(3, 0)
Clinton St & Union St	(1, 2)
Dean St & Hoyt St	(1, 2)
5 Ave & E 88 St	(8, 3)
Park Pl & Church St	(6, 3)
