Murray St & Greenwich St	(6, 8)
Columbia St & Kane St	(1, 1)
Cherry St	(4, 3)
W 95 St & Broadway	(3, 2)
Prospect Pl & Underhill Ave	(2, 2)
Union St & Bedford Ave	(0, 1)
Little West St & 1 Pl	(15, 17)
W 37 St & 10 Ave	(7, 7)
Forsyth St & Canal St	(7, 10)
Franklin St & W Broadway	(10, 6)
Old Slip & Front St	(8, 4)
Peck Slip & Front St	(9, 8)
W 52 St & 11 Ave	(6, 10)
W 24 St & 7 Ave	(5, 7)
Broadway & W 41 St	(9, 17)
Hicks St & Montague St	(3, 2)
MacDougal St & Prince St	(16, 5)
Broadway & W 51 St	(6, 11)
Lawrence St & Willoughby St	(5, 9)
W 45 St & 8 Ave	(9, 5)
E 24 St & Park Ave S	(12, 11)
Columbus Ave & W 72 St	(5, 5)
E 53 St & 3 Ave	(13, 10)
St James Pl & Oliver St	(5, 2)
Frederick Douglass Blvd & W 117 St	(1, 2)
Lexington Ave & E 29 St	(4, 4)
Harrison St & Hudson St	(6, 6)
Bus Slip & State St	(3, 9)
Clinton St & Union St	(2, 0)
9 Ave & W 45 St	(2, 10)
Park Pl & Church St	(14, 9)
E 41 St & Madison Ave	(6, 6)
E 114 St & 1 Ave	(1, 0)
Fulton St & William St	(4, 8)
Lefferts Pl & Franklin Ave	(0, 5)
Leonard St & Nassau Ave	(2, 6)
E 2 St & Avenue B	(10, 9)
Amsterdam Ave & W 79 St	(1, 2)
E 43 St & 5 Ave	(4, 7)
Lafayette Ave & Classon Ave	(1, 3)
E 17 St & Broadway	(17, 11)
W Broadway & Spring Street	(11, 13)
7 Ave & Park Pl	(7, 8)
E 13 St & Avenue A	(8, 8)
11 Ave & W 59 St	(11, 11)
Maiden Ln & Pearl St	(6, 11)
India St & West St	(1, 4)
W 33 St & 7 Ave	(8, 10)
E 76 St & Park Ave	(1, 5)
W 106 St & Central Park West	(2, 0)
5 Ave & E 73 St	(8, 7)
E 39 St & 3 Ave	(9, 7)
Broadway & W 56 St	(9, 13)
W 26 St & 8 Ave	(5, 9)
Graham Ave & Withers St	(1, 3)
E 33 St & 5 Ave	(6, 8)
W 37 St & 5 Ave	(8, 7)
E 2 St & Avenue A	(7, 9)
W 52 St & 6 Ave	(11, 12)
W 26 St & 10 Ave	(15, 12)
6 Ave & Broome St	(12, 10)
3 Ave & E 62 St	(6, 4)
W 15 St & 6 Ave	(10, 6)
Riverside Dr & W 91 St	(5, 4)
Washington St & Gansevoort St	(7, 21)
Madison St & Montgomery St	(5, 2)
E 74 St & 1 Ave	(5, 5)
E 58 St & 1 Ave (NE Corner)	(3, 0)
Washington Ave & Park Ave	(1, 2)
W 67 St & Broadway	(6, 8)
E 84 St & Park Ave	(5, 4)
Broadway & W 38 St	(2, 7)
Degraw St & Hoyt St	(3, 1)
Eastern Pkwy & Franklin Ave	(6, 4)
DeKalb Ave & Hudson Ave	(4, 6)
Butler St & Court St	(2, 2)
Driggs Ave & N Henry St	(5, 2)
W 27 St & 7 Ave	(8, 7)
W 15 St & 7 Ave	(16, 4)
3 Ave & E 95 St	(1, 2)
E 47 St & 2 Ave	(3, 5)
Bayard St & Baxter St	(7, 13)
Leonard St & Maujer St	(2, 1)
5 Ave & E 78 St	(5, 5)
W 89 St & Columbus Ave	(2, 2)
E 85 St & York Ave	(2, 1)
Dean St & 4 Ave	(4, 4)
Cliff St & Fulton St	(14, 6)
E 47 St & 1 Ave	(0, 4)
Stanton St & Norfolk St	(7, 2)
Park Ave & St Edwards St	(1, 2)
Broadway & Battery Pl	(9, 12)
E 116 St & 2 Ave	(1, 0)
Fulton St & Clermont Ave	(1, 1)
Frost St & Meeker Ave	(2, 2)
Bond St & Fulton St	(6, 7)
Bergen St & Flatbush Ave	(2, 6)
W 16 St & 8 Ave	(10, 14)
Atlantic Ave & Fort Greene Pl	(0, 11)
Central Park West & W 72 St	(2, 3)
S 5 Pl & S 5 St	(6, 8)
Washington Pl & Broadway	(14, 11)
Amsterdam Ave & W 82 St	(2, 2)
Columbus Ave & W 95 St	(1, 2)
Columbia St & Rivington St	(5, 2)
Pitt St & Stanton St	(4, 1)
Grand St & Elizabeth St	(12, 15)
Rivington St & Ridge St	(4, 5)
W 52 St & 5 Ave	(11, 5)
E 55 St & 3 Ave	(5, 8)
E 52 St & 2 Ave	(11, 7)
Carroll St & 6 Ave	(2, 2)
W 74 St & Columbus Ave	(3, 4)
Lexington Ave & E 63 St	(5, 2)
E 10 St & 5 Ave	(8, 9)
Front St & Maiden Ln	(1, 7)
Underhill Ave & Lincoln Pl	(1, 3)
2 Ave & E 96 St	(2, 0)
Jay St & York St	(4, 6)
Lewis Ave & Kosciuszko St	(1, 0)
Leonard St & Church St	(5, 11)
8 Ave & W 52 St	(9, 3)
Centre St & Chambers St	(16, 13)
West St & Chambers St	(10, 10)
E 31 St & 3 Ave	(13, 12)
Lexington Ave & Classon Ave	(2, 0)
11 St & 43 Ave	(0, 1)
E 60 St & York Ave	(0, 3)
Park Ave & Marcus Garvey Blvd	(2, 0)
W 87 St & Amsterdam Ave	(0, 2)
Grand Ave & Bergen St	(2, 1)
Bedford Ave & Nassau Ave	(4, 8)
Lexington Ave & E 26 St	(2, 7)
