Little West St & 1 Pl	(22, 24)
3 St & Prospect Park West	(2, 1)
E 91 St & 2 Ave	(9, 4)
Franklin Ave & St Marks Ave	(0, 2)
E 7 St & Avenue A	(12, 13)
W 104 St & Amsterdam Ave	(2, 1)
Fulton St & Broadway	(18, 18)
Huron St & Franklin St	(10, 3)
11 Ave & W 59 St	(4, 5)
MacDougal St & Prince St	(8, 7)
W 100 St & Broadway	(1, 2)
Avenue C & E 18 St	(9, 3)
W 18 St & 9 Ave	(5, 7)
14 St & 7 Ave	(4, 1)
Milton St & Franklin St	(3, 16)
6 Ave & Broome St	(4, 6)
W 20 St & 11 Ave	(7, 16)
Crescent St & 34 Ave	(1, 0)
Old Slip & Front St	(2, 3)
Union Ave & N 12 St	(8, 5)
1 Ave & E 62 St	(10, 13)
India St & West St	(2, 2)
Barrow St & Hudson St	(14, 18)
Rivington St & Chrystie St	(7, 9)
John St & William St	(4, 2)
Carmine St & 6 Ave	(16, 12)
Driggs Ave & N 9 St	(2, 5)
Lefferts Pl & Franklin Ave	(0, 2)
E 85 St & York Ave	(3, 3)
Grand St & Havemeyer St	(2, 3)
Pershing Square North	(8, 3)
Cooper Square & Astor Pl	(4, 12)
Plaza St West & Flatbush Ave	(4, 1)
W 52 St & 6 Ave	(1, 8)
Bayard St & Leonard St	(5, 2)
Johnson St & Gold St	(4, 2)
Bergen St & Vanderbilt Ave	(4, 6)
Concord St & Bridge St	(1, 1)
Flushing Ave & Vanderbilt Ave	(0, 4)
W 16 St & 8 Ave	(12, 16)
Montrose Ave & Bushwick Ave	(1, 0)
W 34 St & 11 Ave	(11, 17)
W 63 St & Broadway	(12, 9)
E 6 St & Avenue D	(7, 5)
Madison St & Montgomery St	(12, 7)
Cumberland St & Lafayette Ave	(1, 5)
E 55 St & 2 Ave	(7, 4)
W 27 St & 10 Ave	(6, 8)
14 St & 5 Ave	(0, 3)
5 Ave & E 88 St	(8, 6)
W 13 St & 5 Ave	(3, 10)
Broadway & W 25 St	(9, 12)
W 53 St & 10 Ave	(8, 12)
Forsyth St & Canal St	(5, 2)
W 45 St & 6 Ave	(0, 4)
Murray St & Greenwich St	(5, 7)
W 42 St & Dyer Ave	(5, 6)
