Lexington Ave & E 36 St	(4, 1)
Monroe St & Classon Ave	(1, 1)
W 89 St & Columbus Ave	(2, 1)
3 Ave & Carroll St	(3, 0)
2 Ave & E 104 St	(1, 0)
Wyckoff St & 3 Ave	(0, 2)
Cathedral Pkwy & Broadway	(1, 1)
Wolcott St & Dwight St	(0, 1)
44 Dr & Jackson Ave	(1, 1)
Franklin Ave & Myrtle Ave	(0, 1)
Stanton St & Norfolk St	(6, 10)
Clinton St & 4 Place	(1, 2)
8 Ave & W 52 St	(8, 5)
10 St & 5 Ave	(0, 2)
Richardson St & N Henry St	(0, 1)
W 74 St & Columbus Ave	(0, 2)
Washington Park	(2, 0)
N 15 St & Wythe Ave	(1, 2)
W 100 St & Manhattan Ave	(0, 1)
W 35 St & Dyer Ave	(4, 2)
E 114 St & 1 Ave	(0, 1)
Jackson Ave & 46 Rd	(0, 1)
Broadway & Roebling St	(3, 1)
Union St & 4 Ave	(1, 1)
35 Ave & 37 St	(0, 1)
5 Ave & E 103 St	(0, 1)
W 52 St & 11 Ave	(2, 4)
Leonard St & Maujer St	(0, 2)
5 Ave & E 93 St	(1, 0)
Garfield Pl & 8 Ave	(2, 0)
E 68 St & Madison Ave	(1, 0)
Union St & Nevins St	(1, 1)
Riverside Dr & W 78 St	(2, 2)
Verona Pl & Fulton St	(1, 1)
Myrtle Ave & Lewis Ave	(2, 0)
E 48 St & 3 Ave	(4, 1)
1 Ave & E 110 St	(1, 0)
Pacific St & Classon Ave	(0, 1)
Park Ave & St Edwards St	(0, 2)
Carlton Ave & Park Ave	(0, 1)
Adam Clayton Powell Blvd & W 118 St	(1, 0)
Frost St & Meeker Ave	(1, 0)
Queens Plaza North & Crescent St	(1, 0)
Frederick Douglass Blvd & W 112 St	(0, 1)
21 St & 43 Ave	(1, 0)
McKibbin St & Manhattan Ave	(0, 1)
14 St & 7 Ave	(0, 3)
W 104 St & Amsterdam Ave	(0, 1)
9 St & 44 Rd	(1, 0)
3 Ave & E 71 St	(0, 1)
Riverside Blvd & W 67 St	(1, 2)
Columbus Ave & W 103 St	(0, 1)
South St & Gouverneur Ln	(6, 0)
Crescent St & Ditmars Blvd	(0, 1)
St James Pl & Oliver St	(2, 4)
36 Ave & 31 St	(0, 1)
Stagg St & Union Ave	(1, 3)
Central Park West & W 100 St	(0, 1)
Roebling St & N 4 St	(0, 1)
Prospect Pl & Underhill Ave	(1, 1)
Columbia St & Lorraine St	(0, 1)
Myrtle Ave & Marcy Ave	(0, 1)
Carroll St & Columbia St	(0, 1)
Willoughby Ave & Walworth St	(0, 1)
Plaza St West & Flatbush Ave	(1, 1)
Pleasant Ave & E 120 St	(0, 1)
Vernon Blvd & 47 Rd	(1, 1)
Columbus Ave & W 95 St	(2, 1)
Putnam Ave & Nostrand Ave	(1, 0)
St Johns Pl & Washington Ave	(0, 3)
Greene Ave & Throop Ave	(0, 1)
Lewis Ave & Kosciuszko St	(0, 2)
Dean St & Hoyt St	(2, 2)
Graham Ave & Conselyea St	(0, 1)
Kosciuszko St & Tompkins Ave	(1, 2)
49 Ave & 21 St	(0, 1)
7 St & 3 Ave	(1, 0)
Metropolitan Ave & Meeker Ave	(1, 2)
Clermont Ave & Lafayette Ave	(1, 1)
Madison St & Clinton St	(1, 0)
E 118 St & 1 Ave	(1, 1)
5 St & 51 Ave	(1, 0)
Smith St & 9 St	(0, 2)
Broadway & 12 St	(0, 1)
Pioneer St & Van Brunt St	(0, 1)
44 Dr & 21 St	(1, 0)
43 St & Broadway	(0, 1)
Henry St & Poplar St	(1, 0)
DeKalb Ave & S Portland Ave	(0, 1)
28 St & 38 Ave	(1, 0)
Franklin Ave & St Marks Ave	(0, 1)
Dean St & Franklin Ave	(0, 1)
Columbia St & Degraw St	(1, 0)
35 Ave & 10 St	(0, 1)
6 Ave & 12 St	(0, 2)
Eckford St & Engert Ave	(0, 1)
Central Park West & W 76 St	(0, 1)
Powers St & Olive St	(0, 1)
W 87 St & Amsterdam Ave	(0, 1)
