27 St & Hunter St	(2, 3)
Lexington Ave & E 36 St	(0, 4)
Avenue C & E 18 St	(3, 4)
E 58 St &  1 Ave (NW Corner)	(5, 4)
Market St & Cherry St	(3, 5)
E 84 St & Park Ave	(3, 3)
Lawrence St & Willoughby St	(5, 5)
Carlton Ave & Dean St	(3, 3)
W 18 St & 9 Ave	(6, 6)
W 26 St & 10 Ave	(9, 10)
Avenue D & E 8 St	(3, 2)
34 St & 35 Ave	(1, 1)
DeKalb Ave & Vanderbilt Ave	(4, 3)
Broadway & W 25 St	(10, 15)
Grand St & Elizabeth St	(9, 8)
McKibbin St & Bogart St	(1, 2)
Plaza St West & Flatbush Ave	(5, 0)
Gansevoort St & Hudson St	(11, 6)
Fulton St & Broadway	(14, 12)
W 52 St & 6 Ave	(5, 9)
Degraw St & Smith St	(3, 1)
S 4 St & Rodney St	(4, 2)
W 67 St & Broadway	(2, 3)
Clinton St & Grand St	(10, 13)
1 Ave & E 110 St	(0, 2)
Washington Pl & Broadway	(5, 6)
Pearl St & Hanover Square	(3, 3)
St Marks Pl & 1 Ave	(14, 13)
E 78 St & 2 Ave	(1, 2)
Grand Ave & Bergen St	(1, 3)
Prospect Pl & Underhill Ave	(1, 2)
E 32 St & Park Ave	(0, 3)
Jay St & Tech Pl	(4, 1)
Park Pl & Church St	(11, 8)
Franklin St & W Broadway	(11, 11)
Greenwich St & W Houston St	(11, 10)
E 39 St & 3 Ave	(1, 5)
Carroll St & Columbia St	(1, 6)
Lexington Ave & E 26 St	(10, 8)
President St & Henry St	(1, 0)
E 55 St & 2 Ave	(2, 6)
E 20 St & FDR Drive	(10, 16)
E 82 St & East End Ave	(3, 2)
Bergen St & Smith St	(6, 4)
Grand Army Plaza & Plaza St West	(5, 5)
E 75 St & 3 Ave	(3, 1)
Graham Ave & Grand St	(1, 6)
E 5 St & Avenue C	(6, 5)
1 Ave & E 44 St	(1, 5)
Bedford Ave & Bergen St	(2, 5)
Willoughby Ave & Hall St	(1, 3)
Cumberland St & Lafayette Ave	(5, 4)
Cadman Plaza E & Red Cross Pl	(0, 2)
3 Ave & Schermerhorn St	(2, 2)
W 88 St & West End Ave	(3, 4)
E 55 St & 3 Ave	(1, 3)
Newton Rd & 44 St	(1, 0)
45 Rd & 11 St	(3, 3)
Myrtle Ave & St Edwards St	(1, 3)
Hope St & Union Ave	(7, 5)
Bialystoker Pl & Delancey St	(5, 1)
W 49 St & 8 Ave	(7, 8)
Union Ave & Jackson St	(1, 1)
8 Ave & W 52 St	(12, 10)
Carlton Ave & Flushing Ave	(1, 2)
E 114 St & 1 Ave	(0, 2)
East End Ave & E 86 St	(9, 2)
Wyckoff St & 3 Ave	(3, 1)
