19668	(880, 2)
33988	(10401, 6)
28759	(584, 2)
31163	(3631, 6)
15807	(2535, 3)
29418	(664, 1)
32861	(1961, 3)
28063	(1001, 2)
32834	(7031, 7)
31794	(4798, 2)
30200	(2555, 4)
16897	(2672, 4)
19210	(1436, 1)
29913	(1166, 3)
27226	(769, 2)
31130	(749, 2)
18802	(722, 2)
34236	(532, 2)
28675	(371, 2)
27992	(2293, 3)
34349	(658, 1)
24873	(1719, 2)
34275	(352, 1)
26067	(567, 2)
33865	(1210, 3)
19630	(1262, 2)
27536	(793, 1)
25356	(1342, 2)
18720	(3291, 4)
32068	(2888, 5)
25972	(571, 1)
31621	(3245, 3)
20292	(1583, 1)
27981	(241, 1)
18729	(729, 1)
20788	(665, 1)
15736	(1491, 1)
20859	(810, 2)
34194	(3605, 5)
30083	(1015, 2)
30245	(513, 1)
34067	(1308, 1)
19949	(862, 2)
28095	(1558, 2)
26412	(1766, 4)
32074	(1547, 2)
32790	(1485, 2)
27360	(4904, 4)
28260	(2460, 2)
32886	(1310, 3)
31075	(981, 3)
21347	(1239, 2)
17803	(404, 1)
29927	(1116, 2)
29755	(378, 2)
34145	(474, 1)
17940	(2248, 2)
27746	(2882, 3)
26985	(352, 1)
15829	(4720, 4)
28463	(414, 1)
27269	(421, 1)
25152	(381, 1)
26506	(1460, 2)
18056	(1247, 1)
28482	(1047, 2)
34007	(2914, 4)
32313	(698, 1)
19812	(2013, 3)
33972	(6290, 7)
19023	(643, 2)
35090	(2769, 4)
28240	(1651, 2)
18883	(1741, 3)
34846	(3392, 4)
32364	(778, 2)
32357	(896, 2)
18203	(382, 1)
29696	(2535, 4)
25814	(1993, 2)
34219	(635, 2)
32030	(1658, 2)
34018	(4396, 5)
16280	(2749, 3)
16823	(1787, 2)
26416	(2343, 2)
20034	(2947, 2)
15521	(449, 2)
31087	(3491, 3)
31463	(8084, 7)
35027	(126, 1)
30166	(2895, 1)
29752	(3995, 4)
35103	(1552, 2)
19956	(194, 1)
32067	(1675, 2)
32647	(1889, 2)
26325	(454, 1)
21382	(767, 2)
16258	(1963, 4)
25452	(2223, 2)
19337	(645, 2)
29730	(570, 2)
28939	(3127, 3)
19019	(4810, 3)
25815	(221, 1)
19671	(5322, 4)
19321	(4370, 6)
34911	(3733, 4)
35253	(3321, 3)
30456	(1025, 1)
14778	(664, 1)
34931	(1546, 2)
15043	(3341, 3)
20305	(693, 2)
15534	(805, 2)
14639	(4334, 6)
31784	(1780, 4)
31272	(2066, 2)
30443	(1160, 2)
31492	(2571, 3)
30834	(1251, 1)
32643	(2929, 6)
15782	(3703, 2)
27447	(905, 2)
27511	(1404, 1)
32218	(3673, 4)
28515	(2302, 4)
28720	(1698, 3)
