E 43 St & 5 Ave	(7, 4)
Center Blvd & 48 Ave	(5, 3)
E 33 St & 5 Ave	(5, 5)
Broadway & W 25 St	(8, 4)
Lenox Ave & W 130 St	(1, 1)
W 26 St & 10 Ave	(9, 9)
Carmine St & 6 Ave	(12, 16)
S Portland Ave & Hanson Pl	(1, 1)
46 Ave & 5 St	(6, 6)
Market St & Cherry St	(2, 0)
E 65 St & 2 Ave	(5, 4)
1 Ave & E 44 St	(4, 6)
Franklin St & Dupont St	(4, 4)
E 39 St & 3 Ave	(6, 8)
Lawrence St & Willoughby St	(2, 6)
Duffield St & Willoughby St	(1, 3)
E 10 St & Avenue A	(8, 14)
Broadway & W 37 St	(5, 6)
Amsterdam Ave & W 73 St	(7, 9)
Clinton Ave & Flushing Ave	(1, 2)
Rivington St & Chrystie St	(2, 3)
Bank St & Washington St	(7, 7)
Catherine St & Monroe St	(2, 2)
Pearl St & Anchorage Pl	(3, 3)
Allen St & Hester St	(9, 14)
Front St & Maiden Ln	(6, 7)
1 Ave & E 62 St	(8, 7)
E 55 St & Lexington Ave	(2, 2)
MacDougal St & Prince St	(19, 14)
Dock 72 Way & Market St	(2, 3)
MacDougal St & Washington Sq	(9, 4)
Pleasant Ave & E 116 St	(0, 2)
Pacific St & Nevins St	(1, 1)
Roebling St & N 4 St	(4, 1)
Franklin St & W Broadway	(8, 7)
E 16 St & Irving Pl	(5, 4)
W 16 St & The High Line	(7, 7)
E 66 St & Madison Ave	(2, 1)
W 25 St & 6 Ave	(11, 8)
Fulton St & Clermont Ave	(1, 0)
2 Ave & E 122 St	(0, 1)
Lefferts Pl & Franklin Ave	(1, 3)
5 Ave & E 29 St	(6, 13)
Watts St & Greenwich St	(14, 11)
34 Ave & 13 St	(1, 0)
Cherry St	(2, 3)
E 47 St & 2 Ave	(4, 10)
W 27 St & 7 Ave	(6, 4)
Forsyth St & Canal St	(6, 4)
W Broadway & Spring Street	(9, 8)
2 Ave & E 31 St	(11, 7)
Graham Ave & Grand St	(1, 2)
Queens Plaza North & Crescent St	(1, 1)
Clinton St & Union St	(3, 1)
W 18 St & 6 Ave	(9, 12)
Devoe St & Lorimer St	(2, 0)
Broadway & W 49 St	(6, 6)
DeKalb Ave & S Portland Ave	(3, 3)
E 16 St & 5 Ave	(5, 3)
Bayard St & Baxter St	(12, 6)
W 43 St & 6 Ave	(7, 5)
W 27 St & 10 Ave	(3, 2)
Riverside Dr & W 78 St	(2, 2)
St Marks Pl & 2 Ave	(12, 12)
Bergen St & Smith St	(6, 4)
W 88 St & West End Ave	(2, 3)
South St & Whitehall St	(7, 1)
6 Ave & Broome St	(10, 11)
Pearl St & Hanover Square	(7, 2)
Madison Ave & E 99 St	(0, 3)
Carroll St & Smith St	(2, 1)
W 74 St & Columbus Ave	(3, 2)
E 19 St & 3 Ave	(7, 9)
3 Ave & E 62 St	(6, 4)
Broadway & W 53 St	(7, 6)
E 43 St & 2 Ave	(4, 3)
W 59 St & 10 Ave	(8, 2)
E 15 St & 3 Ave	(7, 21)
E 30 St & Park Ave S	(6, 5)
Butler St & Court St	(1, 0)
Lexington Ave & E 29 St	(3, 10)
Park Pl & Vanderbilt Ave	(4, 0)
E 2 St & Avenue A	(12, 14)
Congress St & Clinton St	(2, 1)
21 St & 43 Ave	(1, 1)
E 45 St & 3 Ave	(4, 1)
Vernon Blvd & 31 Ave	(1, 0)
Jay St & York St	(5, 6)
Liberty St & Broadway	(12, 11)
Lincoln Pl & Classon Ave	(0, 1)
Broadway & W 29 St	(11, 7)
Centre St & Worth St	(3, 0)
Graham Ave & Withers St	(4, 1)
W 116 St & Amsterdam Ave	(0, 1)
Leonard St & Church St	(6, 6)
E 47 St & 1 Ave	(2, 1)
Carlton Ave & Park Ave	(0, 2)
Columbia St & Kane St	(0, 1)
Cadman Plaza E & Red Cross Pl	(8, 7)
Division St & Bowery	(3, 7)
3 Ave & E 72 St	(2, 1)
Stanton St & Mangin St	(3, 2)
E 2 St & Avenue B	(8, 13)
Greene Av & Myrtle Av	(1, 1)
Park Pl & Franklin Ave	(0, 2)
Metropolitan Ave & Bedford Ave	(2, 3)
Union St & 4 Ave	(2, 0)
State St & Smith St	(2, 3)
Driggs Ave & N 9 St	(3, 3)
Driggs Ave & N Henry St	(1, 3)
Railroad Ave & Kay Ave	(1, 1)
West Thames St	(1, 0)
Front St & Washington St	(5, 1)
