Central Park S & 6 Ave	(2, 7)
6 Ave & 9 St	(1, 1)
Lenox Ave & W 130 St	(2, 0)
E 68 St & 3 Ave	(3, 4)
Lafayette St & Jersey St	(13, 14)
Myrtle Ave & Marcy Ave	(0, 1)
Willoughby Ave & Tompkins Ave	(2, 1)
E 48 St & 5 Ave	(4, 5)
E 48 St & 3 Ave	(6, 5)
Central Park West & W 76 St	(0, 4)
E 25 St & 1 Ave	(0, 4)
Barclay St & Church St	(5, 3)
E 20 St & FDR Drive	(6, 4)
Hanson Pl & Ashland Pl	(1, 2)
Bedford Ave & S 9 St	(5, 2)
Greenpoint Ave & Manhattan Ave	(6, 6)
W 106 St & Central Park West	(5, 3)
Riverside Dr & W 91 St	(2, 4)
Graham Ave & Grand St	(2, 1)
E 84 St & Park Ave	(4, 1)
Bus Slip & State St	(17, 9)
W 15 St & 6 Ave	(11, 4)
Riverside Dr & W 104 St	(3, 2)
E 84 St & 3 Ave	(13, 4)
E 81 St & 2 Ave	(2, 6)
E 6 St & Avenue D	(7, 4)
Montgomery St & Franklin Ave	(1, 0)
W 13 St & 5 Ave	(3, 6)
Mercer St & Spring St	(6, 15)
Broadway & E 22 St	(13, 10)
W 53 St & 10 Ave	(4, 1)
Cadman Plaza E & Red Cross Pl	(6, 2)
W 54 St & 9 Ave	(5, 4)
Broadway & W 25 St	(2, 14)
12 Ave & W 40 St	(21, 24)
W 67 St & Broadway	(5, 9)
Union St & 4 Ave	(3, 1)
Bond St & Fulton St	(4, 7)
DeKalb Ave & Hudson Ave	(0, 2)
Driggs Ave & Lorimer St	(4, 4)
South St & Whitehall St	(6, 2)
Bergen St & Smith St	(2, 4)
W 22 St & 8 Ave	(3, 5)
W 49 St & 8 Ave	(8, 6)
Central Park West & W 68 St	(4, 5)
W 11 St & 6 Ave	(1, 1)
E 15 St & 3 Ave	(8, 9)
Mott St & Prince St	(8, 10)
5 Ave & E 103 St	(0, 1)
1 Ave & E 94 St	(3, 2)
Harrison St & Hudson St	(4, 5)
Fulton St & Broadway	(4, 8)
Berkeley Pl & 7 Ave	(3, 3)
Monroe St & Classon Ave	(1, 0)
Greenwich St & W Houston St	(6, 8)
2 Ave & E 31 St	(10, 9)
MacDougal St & Washington Sq	(4, 6)
E 77 St & 3 Ave	(1, 3)
21 St & 43 Ave	(1, 0)
Cleveland Pl & Spring St	(6, 19)
E 93 St & 2 Ave	(2, 4)
Old Slip & Front St	(1, 2)
W 18 St & 6 Ave	(9, 5)
Frederick Douglass Blvd & W 117 St	(1, 0)
Lenox Ave & W 126 St	(0, 1)
Vernon Blvd & 47 Rd	(6, 2)
Lafayette Ave & Fort Greene Pl	(1, 1)
Monroe St & Bedford Ave	(1, 1)
Centre St & Chambers St	(13, 12)
7 St & 5 Ave	(3, 2)
Johnson St & Gold St	(1, 1)
W 52 St & 5 Ave	(2, 2)
Amsterdam Ave & W 79 St	(1, 2)
Grand Ave & Bergen St	(1, 2)
Franklin St & Dupont St	(5, 3)
W 13 St & 7 Ave	(5, 5)
Peck Slip & Front St	(8, 1)
E 16 St & Irving Pl	(9, 6)
Columbus Ave & W 72 St	(3, 4)
Riverside Dr & W 72 St	(6, 4)
E 74 St & 1 Ave	(3, 2)
Metropolitan Ave & Bedford Ave	(4, 3)
Wythe Ave & Metropolitan Ave	(10, 5)
State St & Smith St	(2, 3)
Avenue D & E 8 St	(5, 3)
Rivington St & Ridge St	(6, 2)
Sterling Pl & Bedford Ave	(1, 2)
Bergen St & Flatbush Ave	(0, 3)
Jackson St & Leonard St	(3, 0)
Carlton Ave & Dean St	(0, 3)
Lexington Ave & Classon Ave	(6, 0)
E 82 St & East End Ave	(4, 6)
Pleasant Ave & E 116 St	(1, 3)
E 25 St & 2 Ave	(6, 10)
5 Ave & E 78 St	(7, 6)
W 44 St & 5 Ave	(1, 3)
48 Ave & 30 Pl	(1, 0)
Lexington Ave & E 63 St	(1, 2)
East End Ave & E 86 St	(1, 2)
South St & Gouverneur Ln	(9, 9)
Metropolitan Ave & Meeker Ave	(5, 2)
Adelphi St & Myrtle Ave	(1, 2)
W 42 St & Dyer Ave	(0, 8)
India St & West St	(4, 2)
Madison Ave & E 82 St	(4, 5)
E 20 St & Park Ave	(3, 6)
Hudson St & Reade St	(4, 3)
W 37 St & 10 Ave	(5, 5)
Fulton St & Rockwell Pl	(1, 4)
E 6 St & Avenue B	(11, 6)
West Thames St	(4, 12)
St James Pl & Oliver St	(6, 6)
Flushing Ave & Vanderbilt Ave	(2, 1)
Kent Ave & N 7 St	(7, 14)
W 15 St & 7 Ave	(4, 2)
W 45 St & 8 Ave	(9, 10)
W 70 St & Amsterdam Ave	(10, 4)
E 85 St & York Ave	(4, 1)
E 47 St & 1 Ave	(3, 4)
E 12 St & 3 Ave	(6, 3)
Stanton St & Mangin St	(2, 2)
Bedford Ave & Nassau Ave	(6, 7)
Lafayette St & E 8 St	(2, 7)
Kosciuszko St & Tompkins Ave	(3, 0)
9 Ave & W 28 St	(0, 4)
Murray St & Greenwich St	(4, 9)
E 84 St & 1 Ave	(6, 5)
E 11 St & 2 Ave	(8, 9)
Old Fulton St	(8, 4)
40 Ave & Crescent St	(1, 1)
Grand Army Plaza & Plaza St West	(7, 5)
Washington Pl & Broadway	(5, 1)
Broadway & W 122 St	(1, 1)
Frederick Douglass Blvd & W 129 St	(1, 1)
Degraw St & Smith St	(2, 1)
Broadway & Roebling St	(4, 1)
Columbus Ave & W 95 St	(1, 0)
Schermerhorn St & Bond St	(2, 2)
Amsterdam Ave & W 73 St	(9, 12)
Madison St & Clinton St	(6, 2)
Hancock St & Bedford Ave	(1, 0)
31 St & Newtown Ave	(1, 0)
West End Ave & W 107 St	(0, 1)
Washington Park	(3, 2)
35 Ave & 37 St	(1, 0)
W 59 St & 10 Ave	(4, 4)
Riverside Blvd & W 67 St	(7, 8)
Nassau Ave & Russell St	(1, 7)
E 88 St & Park Ave	(2, 1)
Central Park West & W 102 St	(2, 0)
Broadway & Battery Pl	(9, 4)
Franklin St & W Broadway	(6, 1)
14 St & 7 Ave	(2, 7)
Broadway & W 41 St	(8, 4)
Pierrepont St & Monroe Pl	(1, 0)
Wyckoff St & 3 Ave	(1, 4)
5 Ave & 3 St	(2, 1)
Roebling St & N 4 St	(2, 3)
E 65 St & 2 Ave	(4, 2)
Graham Ave & Withers St	(2, 0)
N 15 St & Wythe Ave	(1, 3)
Pike St & E Broadway	(8, 2)
E 12 St & 4 Av	(4, 9)
11 Ave & W 59 St	(8, 4)
Central Ave & Starr Street	(0, 1)
Grand Army Plaza & Central Park S	(5, 1)
Catherine St & Monroe St	(4, 1)
28 St & 41 Ave	(0, 1)
Amsterdam Ave & W 66 St	(2, 4)
E 43 St & 5 Ave	(4, 1)
Devoe St & Lorimer St	(2, 0)
W 37 St & 5 Ave	(2, 3)
W 78 St & Broadway	(3, 1)
E 102 St & 1 Ave	(0, 4)
W 16 St & The High Line	(5, 6)
MacDougal St & Prince St	(8, 12)
Stagg St & Union Ave	(1, 0)
Market St & Cherry St	(0, 2)
Driggs Ave & N Henry St	(1, 0)
Broadway & W 38 St	(3, 2)
Union Ave & N 12 St	(1, 2)
St Johns Pl & Washington Ave	(2, 1)
E 91 St & Park Ave	(0, 1)
W 24 St & 7 Ave	(5, 9)
Mercer St & Bleecker St	(4, 9)
Leonard St & Boerum St	(1, 0)
Division St & Bowery	(3, 8)
