Washington Park	(1, 3) 
Columbia St & Kane St	(0, 1) 
W 50 St & 9 Ave	(7, 5) 
Peck Slip & Front St	(13, 6) 
7 Ave & Central Park South	(7, 8) 
5 Ave & E 29 St	(5, 7) 
West St & Chambers St	(32, 36) 
Leonard St & Church St	(5, 6) 
45 Rd & 11 St	(3, 1) 
E 2 St & Avenue B	(12, 13) 
Roebling St & N 4 St	(2, 1) 
W 31 St & 7 Ave	(18, 12) 
W 21 St & 6 Ave	(23, 23) 
8 Ave & W 33 St	(13, 13) 
Cleveland Pl & Spring St	(15, 15) 
Duane St & Greenwich St	(8, 6) 
E 31 St & 3 Ave	(5, 4) 
W 43 St & 6 Ave	(16, 10) 
Division St & Bowery	(9, 5) 
Clinton Ave & Myrtle Ave	(99, 83) 
W 63 St & Broadway	(6, 5) 
Central Park West & W 68 St	(10, 3) 
E 39 St & 2 Ave	(12, 16) 
Columbus Ave & W 95 St	(2, 1) 
Graham Ave & Withers St	(1, 1) 
E 67 St & Park Ave	(1, 3) 
S Portland Ave & Hanson Pl	(1, 2) 
White St & Johnson Ave	(0, 1) 
Park Ave & Marcus Garvey Blvd	(0, 1) 
Bialystoker Pl & Delancey St	(5, 1) 
E 47 St & 1 Ave	(4, 7) 
1 Ave & E 68 St	(13, 11) 
E 48 St & 5 Ave	(6, 13) 
Broadway & W 41 St	(6, 8) 
South St & Whitehall St	(9, 10) 
W 42 St & 8 Ave	(10, 7) 
Broadway & Roebling St	(0, 4) 
Jay St & York St	(8, 8) 
2 Ave & E 122 St	(1, 0) 
Lexington Ave & E 26 St	(9, 11) 
Willoughby Ave & Tompkins Ave	(0, 1) 
E 25 St & 1 Ave	(3, 7) 
E 93 St & 2 Ave	(2, 2) 
University Pl & E 8 St	(9, 11) 
Warren St & Court St	(1, 1) 
St James Pl & Oliver St	(2, 6) 
21 St & Queens Plaza North	(3, 3) 
Lafayette St & Jersey St	(22, 25) 
McKibbin St & Bogart St	(2, 0) 
E 103 St & Lexington Ave	(0, 1) 
W Broadway & Spring Street	(12, 15) 
Schermerhorn St & Court St	(1, 2) 
3 St & Prospect Park West	(1, 4) 
Lorimer St & Broadway	(1, 0) 
Franklin St & Dupont St	(4, 10) 
E 102 St & Park Ave	(0, 1) 
Monroe St & Bedford Ave	(1, 1) 
W 129 St & Convent Ave	(0, 1) 
Cedar St & Myrtle Ave	(0, 2) 
5 Ave & E 78 St	(7, 3) 
Carroll St & Smith St	(2, 3) 
Macon St & Nostrand Ave	(1, 0) 
W 52 St & 11 Ave	(7, 11) 
North Moore St & Greenwich St	(42, 44) 
Broadway & Berry St	(8, 13) 
W 27 St & 10 Ave	(8, 13) 
W 41 St & 8 Ave	(14, 9) 
Bushwick Ave & Powers St	(0, 1) 
W 34 St & 11 Ave	(19, 22) 
Columbus Ave & W 103 St	(0, 2) 
E 6 St & Avenue B	(9, 11) 
E 118 St & 1 Ave	(0, 3) 
2 Ave & E 72 St	(15, 9) 
Myrtle Ave & Marcy Ave	(3, 0) 
E 97 St & 3 Ave	(1, 1) 
W 22 St & 10 Ave	(16, 12) 
W 26 St & 8 Ave	(7, 5) 
6 Ave & Broome St	(11, 11) 
8 Ave & W 52 St	(6, 6) 
11 St & 43 Ave	(0, 1) 
Carroll St & Washington Ave	(0, 2) 
Broadway & W 51 St	(13, 14) 
W 84 St & Broadway	(3, 1) 
Cathedral Pkwy & Broadway	(1, 1) 
1 Ave & E 44 St	(12, 13) 
W 24 St & 7 Ave	(8, 14) 
Fulton St & Waverly Ave	(3, 8) 
Avenue C & E 18 St	(8, 4) 
W 53 St & 10 Ave	(8, 6) 
Stanton St & Mangin St	(2, 2) 
1 Ave & E 18 St	(235, 180) 
University Pl & E 14 St	(29, 6) 
E 15 St & 3 Ave	(11, 32) 
Bus Slip & State St	(7, 8) 
Union Ave & N 12 St	(1, 1) 
Riverside Dr & W 72 St	(6, 6) 
34 Ave & 13 St	(1, 1) 
W 20 St & 7 Ave	(5, 13) 
Emerson Pl & Myrtle Ave	(1, 1) 
Pershing Square North	(16, 15) 
Clinton St & Joralemon St	(5, 1) 
Hancock St & Bedford Ave	(3, 0) 
W 33 St & 7 Ave	(19, 17) 
2 Ave & E 96 St	(2, 3) 
E 43 St & 5 Ave	(6, 9) 
Bayard St & Leonard St	(1, 0) 
Hudson St & Reade St	(8, 9) 
Market St & Cherry St	(1, 5) 
47 Ave & 31 St	(3, 1) 
Dean St & Hoyt St	(1, 1) 
E 74 St & 1 Ave	(4, 2) 
W 67 St & Broadway	(2, 4) 
Metropolitan Ave & Meeker Ave	(5, 1) 
Degraw St & Hoyt St	(1, 3) 
6 Ave & Canal St	(18, 15) 
Plaza St West & Flatbush Ave	(5, 2) 
