Hicks St & Montague St	(0, 2) 
Washington Ave & Greene Ave	(0, 4) 
W 38 St & 8 Ave	(2, 1) 
S 3 St & Bedford Ave	(0, 1) 
Underhill Ave & Pacific St	(16, 10) 
Cooper Square & Astor Pl	(3, 4) 
Clinton St & Grand St	(2, 7) 
E 20 St & FDR Drive	(5, 7) 
Lafayette Ave & Classon Ave	(0, 1) 
7 Ave & Park Pl	(0, 2) 
1 Ave & E 78 St	(41, 49) 
Huron St & Franklin St	(0, 2) 
Pacific St & Nevins St	(0, 1) 
E 20 St & Park Ave	(8, 3) 
W 42 St & Dyer Ave	(0, 1) 
Lafayette Ave & St James Pl	(1, 1) 
E 65 St & 2 Ave	(2, 0) 
Duffield St & Willoughby St	(2, 3) 
E 81 St & 3 Ave	(1, 1) 
Maiden Ln & Pearl St	(2, 4) 
10 St & 7 Ave	(1, 0) 
Murray St & West St	(28, 24) 
9 Ave & W 28 St	(2, 0) 
9 Ave & W 45 St	(1, 2) 
W 43 St & 10 Ave	(37, 42) 
Cliff St & Fulton St	(1, 1) 
E 2 St & Avenue C	(49, 49) 
Pleasant Ave & E 116 St	(2, 1) 
Centre St & Chambers St	(2, 3) 
Union Ave & Jackson St	(1, 0) 
1 Ave & E 62 St	(4, 0) 
Eckford St & Engert Ave	(1, 0) 
Berkeley Pl & 6 Ave	(1, 1) 
E 12 St & 3 Ave	(5, 6) 
Division Av & Hooper St	(0, 2) 
Pier 40 - Hudson River Park	(2, 2) 
Lafayette St & E 8 St	(2, 3) 
Forsyth St & Broome St	(1, 2) 
Nassau Ave & Newell St	(0, 1) 
Mercer St & Bleecker St	(7, 1) 
E 39 St & 3 Ave	(1, 3) 
Park Pl & Franklin Ave	(3, 1) 
W 20 St & 8 Ave	(2, 2) 
Broadway & W 56 St	(0, 2) 
Murray St & Greenwich St	(3, 1) 
W 16 St & The High Line	(0, 1) 
Suffolk St & Stanton St	(49, 36) 
14 St & 5 Ave	(0, 1) 
E 2 St & 2 Ave	(7, 6) 
27 St & Hunter St	(1, 0) 
Johnson St & Gold St	(3, 1) 
Little West St & 1 Pl	(5, 9) 
Madison Ave & E 99 St	(0, 1) 
Greene Ave & Nostrand Ave	(1, 0) 
Greenwich St & W Houston St	(0, 1) 
E 25 St & 2 Ave	(3, 5) 
Liberty St & Broadway	(0, 2) 
W 92 St & Broadway	(1, 1) 
South St & Gouverneur Ln	(1, 0) 
E 11 St & Avenue B	(1, 3) 
6 Ave & W 33 St	(0, 1) 
W 13 St & 7 Ave	(0, 1) 
Avenue D & E 12 St	(0, 1) 
E 23 St & 1 Ave	(54, 55) 
W 25 St & 6 Ave	(5, 3) 
E 11 St & 1 Ave	(65, 71) 
W 4 St & 7 Ave S	(5, 4) 
FDR Drive & E 35 St	(0, 1) 
E 10 St & Avenue A	(0, 2) 
Avenue D & E 8 St	(2, 2) 
Central Park W & W 96 St	(0, 1) 
Adelphi St & Myrtle Ave	(2, 2) 
Graham Ave & Conselyea St	(1, 1) 
E 59 St & Madison Ave	(7, 11) 
E 33 St & 5 Ave	(1, 2) 
W 37 St & 10 Ave	(0, 2) 
Willoughby Ave & Hall St	(1, 3) 
Grand Ave & Bergen St	(0, 1) 
Dean St & 4 Ave	(3, 0) 
E 9 St & Avenue C	(0, 3) 
Amsterdam Ave & W 66 St	(2, 0) 
Christopher St & Greenwich St	(5, 7) 
1 Ave & E 30 St	(0, 6) 
Broadway & W 25 St	(5, 3) 
W 11 St & 6 Ave	(2, 2) 
46 Ave & 5 St	(3, 7) 
Carmine St & 6 Ave	(5, 4) 
DeKalb Ave & Hudson Ave	(2, 0) 
Broadway & W 53 St	(2, 0) 
Harrison St & Hudson St	(0, 3) 
Metropolitan Ave & Bedford Ave	(1, 1) 
White St & Moore St	(0, 1) 
Pike St & E Broadway	(5, 0) 
W 22 St & 8 Ave	(3, 4) 
W 44 St & 5 Ave	(0, 1) 
E 58 St &  1 Ave (NW Corner)	(1, 1) 
