E 45 St & 3 Ave	(6, 10)
W 70 St & Amsterdam Ave	(14, 3)
S 4 St & Wythe Ave	(25, 27)
Norfolk St & Broome St	(2, 8)
E 47 St & Park Ave	(7, 12)
W 13 St & 5 Ave	(9, 11)
Pike St & Monroe St	(1, 4)
E 24 St & Park Ave S	(14, 8)
6 Ave & Broome St	(8, 9)
Liberty St & Broadway	(13, 14)
W Broadway & Spring Street	(16, 12)
W 38 St & 8 Ave	(4, 8)
W 31 St & 7 Ave	(18, 8)
Lafayette Ave & Fort Greene Pl	(4, 1)
Amsterdam Ave & W 79 St	(1, 2)
Willoughby St & Fleet St	(14, 9)
Madison St & Clinton St	(3, 2)
Lefferts Pl & Franklin Ave	(2, 2)
Maiden Ln & Pearl St	(5, 6)
Broadway & W 29 St	(13, 10)
Pearl St & Hanover Square	(1, 5)
Vernon Blvd & 47 Rd	(1, 0)
Schermerhorn St & Bond St	(9, 3)
W 37 St & 5 Ave	(9, 10)
Broadway & W 38 St	(5, 7)
Stuyvesant Walk & 1 Av Loop	(0, 1)
11 Ave & W 27 St	(12, 16)
E 114 St & 1 Ave	(1, 0)
Dean St & 4 Ave	(5, 7)
W 16 St & The High Line	(5, 26)
W 52 St & 6 Ave	(8, 12)
Barclay St & Church St	(10, 9)
Lafayette Ave & St James Pl	(3, 3)
E 5 St & Avenue C	(6, 6)
W 49 St & 8 Ave	(6, 4)
Pearl St & Anchorage Pl	(7, 1)
Broadway & E 14 St	(19, 19)
Hicks St & Montague St	(5, 5)
S Portland Ave & Hanson Pl	(2, 8)
7 Ave & Central Park South	(7, 4)
Clinton St & Grand St	(18, 7)
Clark St & Henry St	(2, 7)
E 31 St & 3 Ave	(13, 7)
7 Ave & Park Pl	(12, 8)
Broadway & W 51 St	(4, 7)
Bergen St & Flatbush Ave	(3, 4)
Central Park West & W 72 St	(6, 3)
Pershing Square South	(6, 4)
5 Ave & E 29 St	(12, 10)
Franklin Ave & St Marks Ave	(2, 0)
Canal St & Rutgers St	(8, 12)
Clinton St & Union St	(2, 0)
Degraw St & Hoyt St	(3, 1)
DeKalb Ave & S Portland Ave	(5, 2)
Pershing Square North	(15, 18)
Broadway & W 25 St	(10, 10)
1 Pl & Clinton St	(3, 1)
University Pl & E 14 St	(11, 12)
E 12 St & 4 Av	(7, 7)
Central Park S & 6 Ave	(9, 3)
Amsterdam Ave & W 82 St	(4, 3)
W 25 St & 6 Ave	(8, 9)
