E 5 St & Avenue C	(4, 3) 
Scholes St & Manhattan Ave	(1, 0) 
Bergen St & Vanderbilt Ave	(3, 2) 
W 70 St & Amsterdam Ave	(6, 5) 
Wyckoff St & 3 Ave	(1, 1) 
Watts St & Greenwich St	(9, 5) 
3 Ave & E 95 St	(1, 1) 
3 St & 3 Ave	(1, 2) 
Columbus Ave & W 72 St	(9, 8) 
Barclay St & Church St	(2, 3) 
DeKalb Ave & Franklin Ave	(3, 0) 
12 Ave & W 40 St	(22, 27) 
Prospect Pl & 6 Ave	(0, 1) 
N 12 St & Bedford Ave	(4, 1) 
Lafayette Ave & Fort Greene Pl	(3, 2) 
W 46 St & 11 Ave	(4, 8) 
Pierrepont St & Monroe Pl	(0, 2) 
Smith St & 9 St	(2, 1) 
Leonard St & Nassau Ave	(1, 4) 
W 90 St & Amsterdam Ave	(1, 0) 
Bedford Ave & Bergen St	(2, 0) 
W 64 St & Thelonious Monk Circle	(92, 77) 
Henry St & Atlantic Ave	(3, 1) 
W 15 St & 7 Ave	(13, 7) 
Rivington St & Ridge St	(9, 4) 
E 17 St & Broadway	(15, 12) 
5 Ave & E 93 St	(1, 4) 
3 Ave & Schermerhorn St	(5, 3) 
Allen St & Stanton St	(16, 16) 
W 18 St & 6 Ave	(13, 14) 
43 St & Broadway	(1, 1) 
Vernon Blvd & 50 Ave	(73, 68) 
Pearl St & Hanover Square	(3, 1) 
Central Park West & W 85 St	(3, 1) 
W 74 St & Columbus Ave	(1, 2) 
Driggs Ave & N Henry St	(2, 4) 
14 St & 7 Ave	(2, 2) 
Centre St & Worth St	(0, 1) 
George St & Wilson Ave	(1, 0) 
Canal St & Rutgers St	(2, 13) 
Avenue D & E 3 St	(4, 5) 
E 55 St & Lexington Ave	(2, 3) 
Allen St & Hester St	(4, 10) 
MacDougal St & Prince St	(14, 15) 
Smith St & 3 St	(0, 1) 
3 Ave & 14 St	(3, 0) 
West Drive & Prospect Park West	(8, 7) 
Nostrand Ave & Myrtle Ave	(1, 1) 
S 5 Pl & S 5 St	(8, 9) 
E 60 St & York Ave	(4, 3) 
E 20 St & 2 Ave	(6, 4) 
7 St & 5 Ave	(0, 1) 
E 53 St & 3 Ave	(5, 2) 
Union Ave & Wallabout St	(0, 1) 
Central Park West & W 76 St	(3, 5) 
Brooklyn Bridge Park - Pier 2	(0, 2) 
Mott St & Prince St	(15, 10) 
E 58 St & 3 Ave	(4, 5) 
St Marks Pl & 2 Ave	(9, 7) 
E 91 St & Park Ave	(1, 1) 
E 81 St & 2 Ave	(6, 4) 
3 Ave & E 71 St	(4, 0) 
35 St & 34 Ave	(0, 1) 
E 68 St & Madison Ave	(2, 2) 
Madison St & Clinton St	(3, 3) 
Atlantic Ave & Furman St	(3, 5) 
Old Fulton St	(4, 6) 
Broadway & Battery Pl	(11, 14) 
1 Ave & E 110 St	(0, 2) 
W 13 St & 5 Ave	(7, 4) 
West End Ave & W 94 St	(2, 1) 
W 54 St & 9 Ave	(2, 6) 
W 76 St & Columbus Ave	(1, 5) 
Front St & Gold St	(0, 2) 
W 116 St & Broadway	(4, 2) 
Underhill Ave & Lincoln Pl	(3, 1) 
E 10 St & 5 Ave	(3, 6) 
E 85 St & York Ave	(5, 2) 
E 77 St & 3 Ave	(3, 4) 
Riverside Blvd & W 67 St	(12, 8) 
Carroll St & Bond St	(1, 0) 
E 75 St & 3 Ave	(3, 4) 
5 Ave & E 88 St	(2, 7) 
E 91 St & 2 Ave	(3, 3) 
Bergen St & Flatbush Ave	(2, 3) 
E 33 St & 1 Ave	(6, 13) 
E 88 St & 1 Ave	(3, 8) 
Amsterdam Ave & W 82 St	(6, 3) 
Congress St & Clinton St	(0, 1) 
St Johns Pl & Washington Ave	(4, 2) 
W 49 St & 8 Ave	(5, 5) 
W 100 St & Manhattan Ave	(2, 0) 
Graham Ave & Herbert St	(0, 2) 
Pitt St & Stanton St	(1, 0) 
DeKalb Ave & Vanderbilt Ave	(2, 2) 
Franklin Ave & St Marks Ave	(2, 1) 
W 89 St & Columbus Ave	(3, 1) 
Broadway & E 14 St	(14, 18) 
Broadway & W 60 St	(19, 7) 
11 Ave & W 41 St	(5, 9) 
E 16 St & 5 Ave	(9, 10) 
Greenwich Ave & Charles St	(9, 1) 
Broadway & W 29 St	(14, 12) 
E 11 St & 2 Ave	(4, 6) 
Baltic St & 5 Ave	(0, 1) 
Steinway St & 23 Ave	(1, 0) 
N 11 St & Kent Ave	(1, 0) 
W 106 St & Central Park West	(0, 2) 
8 Ave & W 31 St	(7, 7) 
Lawrence St & Willoughby St	(3, 8) 
E 48 St & 3 Ave	(1, 3) 
E 76 St & Park Ave	(1, 3) 
W 56 St & 10 Ave	(2, 3) 
Cambridge Pl & Gates Ave	(0, 3) 
Crescent St & 35 Ave	(0, 2) 
Driggs Ave & N 9 St	(2, 1) 
Lefferts Pl & Franklin Ave	(2, 2) 
E 4 St & 2 Ave	(12, 9) 
Sullivan St & Washington Sq	(9, 10) 
Lexington Ave & E 29 St	(3, 7) 
