Lispenard St & Broadway	(177, 190)
Central Ave & Starr Street	(0, 1)
Meserole Ave & Manhattan Ave	(0, 7)
Cherry St	(1, 2)
9 Ave & W 28 St	(5, 1)
Marcus Garvey Blvd & Macon St	(1, 0)
W 116 St & Broadway	(3, 1)
Greene Ave & Throop Ave	(1, 0)
Flushing Ave & Vanderbilt Ave	(1, 2)
Dwight St & Van Dyke St	(0, 2)
Lexington Ave & E 36 St	(4, 6)
W 54 St & 9 Ave	(4, 3)
Willoughby Ave & Walworth St	(0, 1)
E 68 St & Madison Ave	(3, 1)
N 15 St & Wythe Ave	(0, 3)
W 84 St & Columbus Ave	(4, 1)
Queens Plaza North & Crescent St	(5, 1)
Plaza St West & Flatbush Ave	(3, 1)
Driggs Ave & Lorimer St	(2, 2)
Graham Ave & Withers St	(1, 3)
44 Dr & Jackson Ave	(0, 2)
10 St & 5 Ave	(0, 1)
Market St & Cherry St	(2, 1)
Hope St & Union Ave	(0, 1)
5 St & 51 Ave	(0, 2)
McKibbin St & Bogart St	(3, 1)
Central Park West & W 68 St	(7, 6)
27 St & Hunter St	(1, 2)
Fulton St & Utica Ave	(1, 0)
Frost St & Meeker Ave	(1, 1)
5 Ave & E 63 St	(0, 1)
Nostrand Ave & Myrtle Ave	(1, 1)
Henry St & Poplar St	(0, 1)
45 Rd & 11 St	(1, 0)
Prospect Pl & 6 Ave	(0, 1)
Vernon Blvd & 47 Rd	(3, 2)
Kosciuszko St & Nostrand Ave	(0, 1)
E 115 St & Lexington Ave	(0, 1)
Graham Ave & Herbert St	(2, 2)
Carlton Ave & Park Ave	(0, 1)
3 Ave & E 72 St	(6, 1)
Kent Ave & S 11 St	(0, 1)
DeKalb Ave & Franklin Ave	(1, 0)
MacDougal St & Washington Sq	(3, 6)
Central Park W & W 96 St	(2, 1)
Park Pl & Franklin Ave	(2, 0)
Throop Ave & Myrtle Ave	(0, 1)
2 Ave & 36 St - Citi Bike HQ at Industry City	(1, 0)
Union Ave & Jackson St	(0, 1)
Central Park North & Adam Clayton Powell Blvd	(1, 2)
14 St & 5 Ave	(2, 1)
West End Ave & W 94 St	(2, 2)
Macon St & Nostrand Ave	(0, 3)
Driggs Ave & N 9 St	(2, 3)
Eastern Pkwy & Washington Ave	(3, 1)
3 Ave & E 100 St	(1, 0)
31 St & Thomson Ave	(2, 1)
Douglass St & 3 Ave	(0, 1)
Pike St & E Broadway	(3, 4)
Willoughby Ave & Hall St	(0, 3)
E 106 St & Madison Ave	(1, 3)
Graham Ave & Conselyea St	(1, 3)
W 87 St & Amsterdam Ave	(2, 2)
Front St & Washington St	(2, 4)
E 116 St & 2 Ave	(0, 1)
Emerson Pl & Myrtle Ave	(1, 2)
Myrtle Ave & St Edwards St	(1, 2)
Lenox Ave & W 111 St	(0, 1)
Baltic St & 5 Ave	(1, 2)
Smith St & 3 St	(0, 1)
E 58 St & 1 Ave (NE Corner)	(2, 0)
1 Ave & E 110 St	(0, 1)
Columbus Ave & W 103 St	(0, 1)
Jackson Ave & 46 Rd	(2, 1)
Pioneer St & Van Brunt St	(1, 0)
39 St & 2 Ave - Citi Bike HQ at Industry City	(1, 0)
Madison St & Montgomery St	(1, 4)
Park Pl & Vanderbilt Ave	(7, 0)
Carroll St & Franklin Ave	(0, 1)
Fulton St & Grand Ave	(3, 2)
Washington Park	(1, 0)
3 St & 3 Ave	(2, 1)
Greene Av & Myrtle Av	(0, 1)
Crescent St & Ditmars Blvd	(0, 1)
Adam Clayton Powell Blvd & W 123 St	(0, 1)
Commerce St & Van Brunt St	(0, 1)
12 St & 4 Ave	(0, 1)
Cedar St & Myrtle Ave	(0, 1)
49 Ave & 21 St	(0, 1)
Newton Rd & 44 St	(0, 1)
W 50 St & 9 Ave	(1, 2)
W 116 St & Amsterdam Ave	(1, 0)
Clinton St & 4 Place	(0, 1)
Grand Army Plaza & Plaza St West	(2, 0)
Leonard St & Nassau Ave	(0, 1)
Bergen St & Vanderbilt Ave	(4, 0)
3 Ave & Carroll St	(0, 1)
Mt Morris Park W & W 120 St	(1, 0)
Dean St & Franklin Ave	(0, 1)
Sharon St & Olive St	(0, 1)
Bialystoker Pl & Delancey St	(0, 2)
Broadway & 12 St	(0, 1)
Devoe St & Lorimer St	(1, 0)
5 Ave & E 126 St	(0, 1)
7 St & 5 Ave	(1, 1)
Dean St & Hoyt St	(0, 2)
7 St & 3 Ave	(1, 0)
31 Ave & 34 St	(0, 1)
Adam Clayton Powell Blvd & W 115 St	(0, 1)
Carroll St & Columbia St	(0, 3)
5 St & 6 Ave	(0, 1)
3 Ave & E 95 St	(0, 1)
Frederick Douglass Blvd & W 112 St	(0, 2)
40 Ave & 9 St	(1, 0)
Central Park West & W 102 St	(0, 1)
35 Ave & 10 St	(0, 1)
Hancock St & Bedford Ave	(0, 1)
S 4 St & Rodney St	(1, 0)
Richards St & Delavan St	(0, 2)
Carlton Ave & Flushing Ave	(2, 0)
34 St & 35 Ave	(0, 1)
W 106 St & Amsterdam Ave	(0, 1)
2 Ave & 9 St	(1, 0)
34 Ave & 21 St	(1, 0)
E 110 St & Madison Ave	(0, 1)
Union St & Nevins St	(1, 1)
Columbia St & Degraw St	(0, 1)
Monroe St & Classon Ave	(1, 1)
21 St & 43 Ave	(1, 0)
Lenox Ave & W 126 St	(1, 0)
28 St & 38 Ave	(0, 1)
Verona Pl & Fulton St	(1, 0)
40 Ave & Crescent St	(1, 0)
Montrose Ave & Bushwick Ave	(1, 0)
W 90 St & Amsterdam Ave	(0, 1)
Cathedral Pkwy & Broadway	(2, 0)
E 103 St & Lexington Ave	(0, 1)
Van Brunt St & Wolcott St	(0, 1)
E 97 St & 3 Ave	(0, 1)
Powers St & Olive St	(1, 0)
Schermerhorn St & Court St	(0, 1)
Willoughby Ave & Tompkins Ave	(0, 1)
