E 48 St & 3 Ave	(2, 2)
Rivington St & Chrystie St	(2, 4)
12 St & 4 Ave	(0, 2)
6 Ave & Broome St	(6, 7)
5 Ave & E 78 St	(3, 2)
Degraw St & Smith St	(1, 1)
Carroll St & Smith St	(2, 0)
Jay St & York St	(4, 8)
5 Ave & E 29 St	(2, 6)
Kane St & Clinton St	(4, 1)
Lewis Ave & Kosciuszko St	(1, 1)
2 Ave & E 96 St	(3, 1)
E 67 St & Park Ave	(3, 3)
Bond St & Bergen St	(3, 1)
Water - Whitehall Plaza	(2, 3)
Front St & Maiden Ln	(1, 3)
Liberty St & Broadway	(11, 15)
Gansevoort St & Hudson St	(4, 4)
Cadman Plaza E & Red Cross Pl	(4, 7)
Plaza St West & Flatbush Ave	(1, 0)
E 16 St & 5 Ave	(4, 4)
Broadway & W 38 St	(4, 6)
Spruce St & Nassau St	(1, 4)
Lenox Ave & W 130 St	(1, 1)
St James Pl & Oliver St	(4, 4)
Lexington Ave & Classon Ave	(1, 1)
E 5 St & Avenue C	(3, 1)
E 4 St & 2 Ave	(7, 2)
7 Ave & Park Pl	(5, 7)
Centre St & Chambers St	(16, 4)
Smith St & 3 St	(1, 0)
Fulton St & Waverly Ave	(3, 1)
Barclay St & Church St	(10, 5)
Duane St & Greenwich St	(3, 1)
W 16 St & 8 Ave	(6, 7)
Hicks St & Montague St	(2, 4)
W 87 St & Amsterdam Ave	(1, 2)
Nassau Ave & Russell St	(2, 3)
Baltic St & 5 Ave	(1, 1)
E 84 St & Park Ave	(5, 2)
Centre St & Worth St	(6, 0)
Broadway & W 37 St	(8, 6)
Park Pl & Franklin Ave	(0, 1)
Bayard St & Leonard St	(3, 3)
E 11 St & 2 Ave	(3, 3)
Madison Ave & E 99 St	(1, 2)
31 St & Northern Blvd	(1, 0)
MacDougal St & Washington Sq	(6, 3)
E 2 St & 2 Ave	(3, 3)
India St & West St	(2, 2)
Broadway & Berry St	(6, 3)
Emerson Pl & Myrtle Ave	(1, 0)
10 Hudson Yards	(1, 1)
W 92 St & Broadway	(1, 2)
Columbia St & Rivington St	(4, 6)
President St & Henry St	(3, 1)
Broadway & W 29 St	(7, 3)
Clermont Ave & Park Ave	(2, 0)
Hope St & Union Ave	(2, 1)
W Broadway & Spring Street	(8, 8)
Bus Slip & State St	(6, 7)
47 Ave & 31 St	(1, 2)
E 68 St & Madison Ave	(1, 2)
Central Park West & W 76 St	(1, 0)
34 Ave & 38 St	(2, 1)
St Nicholas Ave & Manhattan Ave	(1, 0)
Columbus Ave & W 95 St	(1, 0)
Cherry St	(2, 4)
W 88 St & West End Ave	(2, 0)
St Marks Pl & 1 Ave	(5, 3)
6 St & 7 Ave	(0, 2)
1 Ave & E 94 St	(0, 2)
Central Park West & W 68 St	(3, 2)
Coffey St & Conover St	(1, 0)
49 Ave & 21 St	(0, 1)
Warren St & Court St	(1, 2)
E 88 St & 1 Ave	(3, 4)
W 45 St & 6 Ave	(1, 1)
W 67 St & Broadway	(5, 5)
Fulton St & William St	(4, 7)
W 15 St & 6 Ave	(9, 5)
Fulton St & Rockwell Pl	(0, 1)
DeKalb Ave & S Portland Ave	(3, 1)
Carlton Ave & Park Ave	(1, 0)
Huron St & Franklin St	(7, 3)
3 Ave & E 62 St	(0, 3)
India St & Manhattan Ave	(10, 6)
Banker St & Meserole Ave	(1, 3)
Reade St & Broadway	(1, 4)
Union Ave & N 12 St	(1, 2)
E 27 St & 1 Ave	(5, 2)
St James Pl & Pearl St	(1, 1)
Meserole Ave & Manhattan Ave	(2, 6)
46 Ave & 5 St	(2, 8)
St Marks Pl & 2 Ave	(6, 4)
East End Ave & E 86 St	(3, 1)
Bayard St & Baxter St	(3, 6)
Metropolitan Ave & Bedford Ave	(4, 5)
Fulton St & Utica Ave	(1, 0)
N 15 St & Wythe Ave	(1, 0)
W 113 St & Broadway	(0, 1)
